,Unnamed: 0,댓글
0,0,대발파가 역시 멋지당
1,1,와 5초만에 꽈광 진짜로 빠르다
2,2,시맨트광산에서도일해봤는데 게임자체가 안되지요.  골프장발파현장.작은광산등등 많이보고일도하고~뉴마이트(다이나마이트)아니고
3,3,발파면적에 비해서 고무매트 덮어 놓은거 보니 너무 적게 덮은것 같네요...중규모 발파 같은데 보통 미진동이나 정밀제어진동 발파때 고무 매트 저정소 수준으로 덮는데 대 중규모 발파때 저정도로는 고무매트 너무 적게 덮어놨음 그리고 저렇게 법면이 가파른데.. 고무매트 일회용도 아닐텐데....저거 토사속에 다 파뭍힐텐데 어떻게 회수할지.... 탠기사 고생하실듯......아 그리고 매트 사이로 한발 튀었습니다 분수처럼 ㅎㅎ다음부턴 매트 겹쳐서 덮으세요.토사에 파붙히면 샤클 다나가요 샤클도 잘 확인하시고 안전발파 하시기를....
4,4,다른것도해주세요산불기동대요
5,5,방송은 구라가 맞네. 이방송이 구라라는게 아니고 방송이란거 자체가 구라야.
6,6,전기원분들의 수고에 정말 감사를 드립니다!!항상 안전에 만전을 가해주십시오!!
7,7,이런분들을 급여 많이 줘야합니다. 스타들에게 주는 관심 이런분들에게 나눠드립시다. 진짜 힘들고 위험한 일에 보상을 많이 주는 나라가 진짜 선진국이라고 생각합니다
8,8,궁금해져서 전기업에 대해 흝어봤는데 우리나라 정전시간은 세계에서 가장 짧은수준이고 전기품질도 세계최고수준이라네요편하게 쓰는 전기가 누군가의 안전을 희생해서 만들어진다니.. 현대시대의 제2의 군인으로 보이네요 일해주셔서 감사합니다
9,9,송전탑 고압 전류로 인해 사망할 수도 있는 굉장히 위험한 상황에서도 굉장한 담력과 체력으로 전기를 관리하는 송전원 분들 정말 존경하고 감사합니다.
10,10,미쳤다.... 진짜 곡예가 따로없네.. 보통의 담력과 체력으론 못하겠네요.. 존경합니다
11,11,정말 대단하다는 말밖에..여러분 존경합니다. 안전하게 일하십시오.
12,12,매일 가족분들이 얼마나 걱정을 많이 하실까요 .. 열악한 환경속에서도 묵묵히 고생하시는 작업자분들 너무 감사합니다.  항상 감사한 마음으로 사용하겠습니다.
13,13,저도요
14,14,저또한요
15,15,소중하게써야겠어요
16,16,사실 가족들이 잘모르는게 더 슬픈현실이네요
17,17,진짜 기술 담력 체력 다 만렙찍어야 할수있는 직업이네요 존경합니다 항상 안전하게 가정으로 돌아가시길...
18,18,와 진짜...... 진짜 정말 감사합니다..... 와... 보기만 하는것도 힘든데 정말 너무너무 존경스럽고 대단하시고..... 절대 절대 다치지 마시고 꼭꼭 안전 유의하시고 돈 많이많이 버세요ㅠㅠㅠㅠ
19,19,상상할수 없도록 엄청난 현장에서 실감이 전혀 못느낄정도 경직이 오네요.워낙 대단한분들 존재하다니 그저 존경할 따름입니다
20,20,진짜 작업자분들 존경합니다ㅠㅠ
21,21,정말 다들 제발 아프지말고 계속 건강하셨으면 좋겠습니다.. 정말 감사드리네요
22,22,진짜 존경스럽습니다. 이건 정말 아무나 할 수 없는 직업이다.
23,23,진짜 대단들하시고..존경스럽네요...늘 안전하세요
24,24,늘 곁에있어 모르는 전기의 소중함..  이분들의 노고에 박수를 보냅니다...진정한 극한직업 이네요;;
25,25,와.. 진짜 조심해서 일 하시길... 매번 사고 없이 무사히 업무 마치시길  바랍니다!
