,Unnamed: 0,댓글
0,0,진짜 삼색이 가족은 너무 귀엽다 ㅠㅠ 세 마리의 털복숭이들이 자기들도 가족이라고 졸졸졸 뭉쳐다니는 게 너무 귀여워 ㅠㅠㅠ 하님 모르는 사이에도 저 셋이 이렇게 피크닉 나가고 그랬겠지?
1,1,하아.. 상상해버렸어...
2,2,가족끼리 뭉쳐다니는거 찡해요. 삼색이는 새끼이자 친구를 낳았어
3,3,고양이 가족끼리 저렇게 같이 모여살수도 있구나 싶어요... 마냥 독립적인줄만 알았지..
4,4,기여워ㅜ......
5,5,하..너무 따숩고 귀여운댓글이네요 ㅠㅠ
6,6,ㅜㅜㅜ
7,7,7:40 ㅋㅋㅋㅋㅋ 아 저번에 피리부는 사내처럼 고양이 우르르 몰고 산책 가시는 것도 신기했는데 이건... 고양이 마그넷 수준인 하하 하님도 신기한데 무가 진짜... 강아지도 하기 어려운 보폭 맞춰서 걷기를 인간 속도에 딱 맞게 조절하면서 나란히 가는 거ㅋㅋㅋ 너무 귀엽고 신기하고 귀엽고 신기합니다ㅠㅠ
8,8,5:44 다시 ㅅ모양으로 서서 위에 올려다 보는거 진짜 귀엽다 ㅠㅠ 무야 사랑해
9,9,
10,10,무플탑
11,11,"산책가는데 삼색이가 그래도 앞장서는 모습이 확실히 무리의 리더가 삼색이라는 생각이 들게하네요 ㅎㅎ 선천적으로 애교도 많고 손타는 성격인데 어쩌다 무리에서 떨어져 나와 성묘가 되기전에 혼자가 된 고양이 몸이 다 자라기 전에 찾아온 임신, 출산, 육아 그래도 운명같이 하 님과 함께한 덕분에 그 어려움을 잘 이겨내고 혼자였던 시간동안 함께할 가족을 만들고 이끌고가는 삼색이가 대단하고 기특하게 느껴져요사실 태어난 나이가 채 1년도 차이나지 않는 삼색이 가족일테니 평생 함께 할 친구라고 봐도 무방할것 같고 세 마리다 중성화 수술 무사히 마쳐서 더 넓은 영역이나 또 다른 독립이 필요치 않게길지않은 묘생동안 서로 오손도손 의지해가며 살아갈 삼색이 가족 보면 마음이 뭉클해요 좋은 영상 늘 감사합니다"
12,12,정말 글 따뜻하게 잘 쓰시네요. 동감입니다. 대견한 삼색이!
13,13,가슴 따뜻해지는 댓글이에요 잘봤습니다 삼색아 사랑해
14,14,삼색이 진짜 너무 대견해요 ㅠㅠ 그냥 외모가 예쁘고 둥글둥글해서 그런게 아니고 이런 스토리들을 생각하면 삼색이가 너무 멋진 고양이라고 생각이 듦 ㅠㅠ
15,15,댓글 넘나 따숩... 훈훈...
16,16,댓글 읽는데 눈물나요 ㅠㅠ 삼색이가족 오래오래 잘 살길
17,17,넘 따수운데 삼색이가 선천적으로 손타는 아인 아녔어요 아기시절 혼자 떨어진 탓에 경계가 심했는데 하님의 정 안 주는 행위에 마음 풀고 애교냥 된겈ㅋㅋ
18,18, @샤둥둥  아 저도 어릴때 영상 다 보았는데 생각보다 경계를 빨리 풀고 또 나이가 좀 먹어도 애교 많고 하님 따르는 걸 보고 그렇게 생각햇어요 ㅎㅎ 아무래도 무리에 떨어져 나왔을때는 그 누구라도 경계를 할 수 밖에 없는 상태인데 빨리 풀린편이라 생각했거든요 ㅎㅎ그런데 그것도 어찌보면 하님의 따뜻한 마음 덕이 클 수도 있겠지요 ㅎㅎㅎㅎ
19,19,제가 느끼는 감정을 잘 적어주셨네요. 이 채널 보는 분들 마음이 대개 이럴 거라 생각해요.그래서 삼색이 살아가는 모습을 모두 보면서 마음 뭉클한거죠. ㅜ
20,20,님 댓글 너무 감동적이고 따뜻하네요 기특한 우리 삼색이..
21,21,이 동영상 볼때마다 이 댓글은 꼭 보구 가요!! 너무 감동적인 말이라 볼때마다 행복합니다 
22,22,래기만 이모 목소리 닮은 줄 알았더니 무도 이모 닮았구나 ㅋㅋㅋㅋㅋㅋ삼색이랑 마릴린은 어쩜 저렇게 통실통실하지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짱두꺼운 핫도그같아
23,23,핫도긐ㅋㄱㄱㄲㄱ
24,24,핫캣입니다 (엄근진
25,25,짱두꺼운 핫도그 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 귀여워
26,26,핫도그 ㅇㅈ ㅋㅋㅋㅋ
27,27,핫도그에서 터졌닼ㅋㅋㅋ
28,28,핫캣
29,29,똥쌀때 하하하님 앞에서 싸는거 진짜 하하하님 2백퍼 신뢰하는 느낌이라 너무 신기하다 ㅋㅋㅋ
30,30,삼색이가 하님을 독차지하는 순간을 정말 좋아하는 듯ㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠ 귀여워...... 너란 고양이....
31,31,껌딱지♡
32,32,햇빛들어오고 배경음 없으니 아련미 생김영화에서 행복한 추억회상하는 영상같애서 센치하다가 빠라빠라 또도동 나오니 마음이 편한해짐ㅋㅋㅋㅋㅋㅋㅋㅋ
