,Unnamed: 0,댓글
0,0,유시민 작가님  조수진 변호사님 올한해 너무 수고 많으셨습니다 새해 복 많이 많이 받으세요 재단 관계자 분들도요내년에도 유익한 방송 기대합니당~~~
1,1,태태님도 새해 복 많이 받으세요 ^^
2,2,"  ️ 🇺🇳   🇰🇷 2️⃣0️⃣2️⃣2️⃣ Korea / 🇰🇷 As 21st century sovereign future advanced country (starting point for sovereignty and human rights, the sake of the sake of the future declaration), declaration of point! Community Korean Peninsula) Today, future peace '🇰🇷 We respect and support the Republic of Korea."
3,3,김태태님 복많이 받으세요.
4,4,유시민  이사장님  고  퀄리티  독서  방송 을  해주셔서  너무나  감사합니다내년에도  계속  부탁드립니다
5,5,"댓글을 보실지 안보실지 모르겠지만..유시민 작가님의 태도나 생각들을 접하면서... 정말 제가 추구하던 지식에 대한 갈증. 그런 것들을 느끼고 해소하고 같이 생각하게 됐습니다.알뜰신잡도 보고 백분토론도 찾아보고 알릴레오도 검색하게 되었어요.키워주신 어머니가 계시지만, 가끔 만나 웃고 떠드는 친구들이 있지만, 제 옆에 9년을 함께하고 있는 남자친구도 있지만.. 윤리나 그런 것들을 함께 생각하고 이야기하는 사람은 없었어요.독립한지 3년이 되어가고 있고 주2회정도 먹던 편두통약도 혼자 살게 되면서 거의 안먹게 됐습니다.밥먹어라는 등 기능적인 대화를 제외한 심도 있는 대화와 제가 요즘 무슨 생각을 갖고있으며 제가 좋아하는것등 그런 걸 한번도 묻지않는 방임과 자유로운 교육 그 어딘가 중간쯤의 환경에서 자라온 저는 참 단순하면서도 자아에 대한 고민을 많이 하며 살았거든요.인간이란 무엇이며라는 수백년전부터 해오던 단순하면서도 고차원적이고 많은 생각을 하게되는 저 문장속에서 누가나 다 많은 생각을 하고 살지만타인에게 표출하는 순간, 사차원이 될 수도 있고 진지충으로 불리는 슬픈 현실속에서 저런 대화들을 분명 누군가는 할텐데 제 주변엔 없으니.사회가 요구하는, 주변인들과 다르지 않게, 마치 위장술을 펼치는 곤충처럼.. 그렇게 뒤돌면 사라질 의미없는 대화, 관심도 없는 타인의 겉모습에 같이 대화하며 어딘가 답답함을 느꼈지만 그냥 남들도 다 이러고 살겠지. 다 그러고 산다니까... 스스로 합리화했거든요.근데 작가님의 눈빛.. 대화. 타인과의 의사소통에 대리만족을 느끼고. 내 주변에 이런 사람이 있다면 내가 좀 더 선한 영향을 받고 살았을까 싶어요...감사합니다.성악설을 믿지만 늘 좋은 어른이 되고싶고 아이들은 누굴 만나냐에 따라 많이 달라질 수 있다고 생각하는 사람인데.많이 들어주는 사람이 되도록 노력할게요.살다보니 말 잘하는건 노력으로 되지만내가 아는 것을 타인이 이야기할 때 온전히 집중해서 듣고 진심으로 경청하기는 정말 힘든일이더라고요...고맙습니다."
6,6,"저는 지나가는 사람입니다만, 일정부분 공감되어서 몇 자 적어보려고 해요. 저 역시도 같은 경험을 해봤던 사람이에요. 나의 사고의 흐름이 당신에 닿았으면 좋겠다는 마음이 강했죠. 특히나제가 사랑하고 믿고 의지하는 가족과 지인에게는 더욱이나요. 그런데, 어느 순간 그런 생각이 들더라고요. 이러한 깊이있는 이야기도 받아들이는 상대에게는 부담이 될 수 있다는 것을.그러면서 사람마다 사고하는 깊이의 속도가 시기마다 다르다는 생각이 들었죠. 그래서 저 스스로 사고를 전환해보았어요.^^ 내가 사랑하는 사람들과 이런 고차윈적인 대화로 관계가 망가지기엔 안되겠다 싶었죠.^^소중한 사람을 잃을 순 없잖아요? 선생님 옆에 진지하게 대화를 나눌 사람이 정말로 없고, 답답함이 해소가 정말 안된다면 독서클럽이나 브런치 같은 곳에서 활동해보시면 어떨까? 싶어요. 또 생각이 많은 분들에게는 작가의 길도 추천해드리고 싶네요~진지충이 뭐가 어떤가요? 세상에는 정말 많은 진지충들이 있답니다. 단지, 자신의 본 모습을 숨기고 있을 뿐이지.^^응원해요."
7,7,"유시민 작가님 그리고 조수진 변호사님!!새해 복 많이 받으세요~!! 영상 편집해주시고, 운영관리하시는 분들도 새해 복 한가득 되시길 바랍니다. 유익한 방송을 보고 들으며 남몰래 많은 위로가 되었답니다. 감사합니다"
8,8,++0000000000++0+++++++++++++AAQQ+9999999+999999999999099999QQQQQQQQ1
9,9,Kkkkkkkkkk hiiiii
10,10,2021년 마지막 방송 함께 해서 소중한 시간이었습니다! 모두 건강하시고 행복하세요!
11,11,박사님 새해 복 많이 받으세요~^^박사님 유튜브 채널 구독했습니다 ㅎ
12,12,장동선쌤^^유투브 잘 보고 있어요새해 복 많이 받으세요
13,13,"Thank you for appearing in 알릴레오; Happy New Year, Dr.Jang and Dr.Jang family. "
14,14,"알쓸신잡때도 느꼈지만장박사님은 정말 말씀하시는 게 막힘이 없이 술술 나오시네요그리고 오늘도 매직워드 "" 무슨 무슨 연구에 의하면~~""이여러차례 나와서 혹해서 방송 시청했습니다 ㅎ가족 모두 건강하시고 새해 복 많이 받으시길 바랍니다"
15,15,"알찬 수다쟁이(?) 박사님 덕분에 더 유쾌하게 시청했습니다. 흥미로운 연구 결과도 많이 접하게 되었고요.새해에도 늘 건강하시고, 평온하시길 바랍니다."
16,16,저도  지금 구독 눌렀어요~
17,17,구독중이에요^^
18,18,오! 박사님 알쓸부터 말씀 좋아했어요 구독합니다 감사합니다
19,19,유시민작가님 계셔서 든든합니다우리사회가 조금더 좋은방향으로 갑니다항상응원합니다^^새해 복 많이 받으세요^^
20,20,ㅛㅑ
21,21,가족이나 친구를 만날때도금요일 오후나 저녁에 약속은 잡지 않습니다왜냐하면 알릴레오 북스를 봐야하니까요 ㅎ2021년 덕분에 즐거웠고 감사했습니다2022년도 좋은 방송 부탁 드립니다
22,22,공감능력에 대해 많은 걸 알게 해준 시간이었습니다. 즐겁게 방송을 보다 보니 시간이 금세 가버렸네요. 유시민 작가님 조수진 변호사님 알릴레오북스 구독자님들 모두 새해 복 많이 받으세요.
23,23,유시민 작가님!  조수진변호사님 !두분 새해 더 행복하고 건강하셔요.
24,24,유시민  언제나 응원하고 존경합니다
25,25,공감이란 주제가 굉장히 흥미롭기도 했지만여러분들과 마치 한 공간에 있는 듯 따듯한 느낌을 받아서 너무 좋았습니다.
26,26,독서을 하면 사람은 변한다.독서를 하고 행동하면 사람은 성공 할수있다.독서를 하고 행동을 하면 성공 할수있고 만족한 삶을 살게되더라. 2021년도 직접 경험하고 살아오면서 알게된점 입니다. 2022년도 모두 독서할수 있고 행동할수 있는 한해를 보냈으면 좋겠습니당! ㅎㅎ
27,27,공감백배!
28,28,알릴레오북스 정말 좋아요~고맙습니다. 뇌가 행복한 한 해 였습니다~
29,29,함께 동시대를 살아감에 무한 감동과 감사가 넘칩니다..새해에도 유시민 작가님 조수진 변호사님 더욱 건강하시고 행복한 한 해 되시길..늘 감사합니다♡
30,30,유시민 작가님조수진 변호사님올해도 고생 많으셨습니다.정말 정말  감사드립니다..두분 덕분에 제 사고가  무한히 넓어지고 있어요. ㅎㅎㅎ..새해에도 건강하시고  복 많이 받으세요.알릴레오 알라뷰~
31,31,"두분패널의 좋은 이야기 감사합니다 . 올한해는 사실 조국교수님가족 ,박원순시장님의 죽음 , 김경수지사님의 억울함 등등 ,, 그리고 코로나로인한 경제적 위협등   많은 일로 공감과 적대감 분노와 갈등이 뒤엉킨 개인적 사회적 불안감으로 힘들었었습니다 . 1장부터 5장까지의 공감에대한 기승전이 저의 고민과 맞닿아 너무 흥미로웠습니다 . 2부도 기대하겠습니다 ."
32,32,이항심 교수님 이해하기 쉽게 설명을 정말 잘해주시네요 수준 높은 방송 늘 감사드리고 모두 새해 복 많이 받으세요!!!
33,33,오 시기적절한 주제네요. 역시 유시민!!! 새해에도 행복하시고 댁내 두루 평안하시길 바랍니다.
34,34,올 한해 너무 수고많으셨습니다. 내년에도 계속 알릴레오 해주세요
35,35,오늘 작가님 질문이 모두 제가 너무나 궁금한것들이네요~~작가님이 너무나 인간적이고 귀여우세요ㅋㅋ오늘 저에게는  너무나 유익한 시간 이었습니다~감사합니다~
36,36,독자로 참가하려고 급히 읽었습니다. 좋은 책 선정해주셔서 감사합니다.
37,37,알쓸 팬입니다.반갑습니다.어떻게 항상 그렇게 표정이 다정하신지  기분이 좋아집니다
38,38,공감 주제 너무 알차고 잘 듣고 갑니다 내년에도 잘 부탁드립니다 짱짱맨
39,39,올한해 시청 잘했습니다. 너무너무 수고 많으셨습니다.내년에도 알찬 북스 기대합니다~
40,40,"유시민 작가님,  이렇게 좋은 알릴에오 북스 운영해 주셔셔 감사합니다. 너무 유익하고 재미있어 금요일이 더욱 기다려집니다.  조수진 변호사님도 진행을 잘 해 주셔서 감사합니다. 또, 유시민 작가님, 정치 평론 다시 해 주셔서 정말 감사합니다. 그동안 작가님의 해석과 통찰이 너무 그리웠습니다.  두분 모두 새해 건강하시고 행복하시기 바랍니다."
41,41,알릴레오북스 덕에 일년 내내 알찬 시간이었습니다. 고맙습니다! 내년에도 잘 부탁해요~
42,42,유시민 작가님이 계셔서 올 한해 너무 행복했습니다새해 복 많이 받으시고 건강하고 행복한 2022년 맞이하십시요고맙습니다
43,43,실패확률이 거의 없는 책 안내방송이라책 살때 망설임 없이 삽니다책이 집에 쌓여가니 뿌듯하고 언제든 펼쳐보게 됩니다 많이 도움이 됩니다 감사합니다 좋은 일 가득한 새해 되세요
44,44,저도 유시민작가님 알릴레오북스듣는 시간 행복해져요.감사드려요.진실과 정의로운 용감한 리더님 화이팅입니다.
45,45,"와와와 이건 너무 재미나요~ 책 읽어 보고, 담주에 2부 시청하겠습니다 감사합니다!!!"
46,46,50대초반인데요 인문학 공부에 이제 눈을 떠서 공부하기 시작했어요부끄럽게도 어른의 나이에책을 혼자 읽을때  이해하기도 어려웠고 어떻게 받아들여야하는지도  몰랐어요 진정한  어른이  되어 갈수 있도록 노력하게 되겠습니다 알릴레오  고맙습니다
47,47,올한해도 알북스 덕분에 많이 배우고 좋았어요 감사합니다 건강하시고~ 내년에도 함께 해요~~
48,48,알릴레오북스는 대한민국 국민의 지적 양성과 국격을 높이는데 중요한 역할을 하시고 있어서 자랑스럽습니다.감사합니다.2022년도 기대합니다.
49,49,유시민작가님 올한해도 매주금요일 뵐수 있어서행복했습니다~내년에도 잘부탁 드립니다^^매력덩어리 조수진 변호사님도 역시 너무 감사한한해였습니다 ~
50,50,장동선대표님 나온다~~
51,51,오늘도~~참으로 재미있는 시간이였어요~~^^더욱더~ 참된 공감을 기르도록 노력하겠습니다~~♡
52,52,두분의 진행 항상   멋졌습니다
53,53,항상 건강하십시요
54,54,즐겁고 행복한 시간이었어요.  감사합니다.
55,55,모든분들 올 한해 수고 많으셨습니다.새해엔 코로나는 사라지고 복이 찾아올거에요 다들 건강하세요^^
56,56,올해 마지막날을 의미있게 보내게 해주셔서 고맙습니다 유시민님 조수진님 올 한해 고마웠씁니다 내년에도 건강하시고 행복하세요 재단의 모든 이들도 건강하시고 행복하시기를 기원합니다
57,57,친절한 세상을 먼들어가는 알릴레오!열렬히 응원합니다
58,58,#알릴레오 북's 응원하고 공감합니다.#힘내세요
59,59,참으로 유익한 방송입니다. ^^b
60,60,알릴레오 50회 축하합니다유시민 이사장님 조수진 이사님 올한해 정말 고마웠습니다 내년에도 잘 부탁드릴게요보다 나은 사회를 꿈꿉니다~ 노무현 재단 화이팅새해복많이받으세요
61,61,책을 아직 안 읽었지만네분 말씀만으로도 훈훈해집니다역대급 몰입도로 시청했습니다'일 안에 연대있다'제 일에  집중하고 저의 오아시스를 잘 관리하면 더 따뜻한 사람이 될것같습니다다음주 기대하며 내일 책사러 갈겁니다감사합니다
62,62,알릴레오가 앞으로도 계속 됐으면 합니다~! 응원하겠습니다~!
63,63,좋아요 수고 하십니다 항상 응원 합니다
64,64,지난 한해동안 수고많으셨어요 코로나 기간동안 다른 사람들과 모여서 이야기 나누지 못한 아쉬움을 이 프로그램을 통해서 그나마 해소할 수 있었습니다. 새해에도 건강하시고  행복한 일이 더 많으시기를...
65,65,공감에 대한 주제넘넘 와닿았어요~전 동물에 대한 공감이  너~~ 무 심해서  365일 우울하거든요.ㅜ비가오면 비맞는 아이들걱정에 비를 즐기지못하고 더우면 더워서걱정.추우면 추워서걱정..전 아이들의 아픔을 공감으로 끝내지 못하고 행동하는 개인 구조자에요ㅜㅜ유기견 유기냥. 시골 방치된 개들돌보고다니는 일을  누가시키지도 않았는데  애들의 눈 때문에  외면못하고 챙기기 시작한지 5년이 넘었네요..혼자 돌보고 다니다보니 너무 힘들고 지치는데..  생명이다보니 공감스위치를 끄지도못해서 공감피로가 엄청나요ㅜㅜ저도 자기돌봄의 시간을 가져야겠어요ㅜㅜ제가공감하는 분야가 동물과 정치인데..   두분야 모두 정말 정신적 피로감이 너무 크네요ㅜㅜ하지만 정의와 진실이 승리하는 날까지...  동물복지가 좋아지는 날까지.. 힘낼거에요.. 화이팅!
66,66,"조변님, 유작가님 2021년 수고 많으셨습니다. 따뜻하고 건강한 새해 첫 날 맞으세요!!!"
67,67,공감에 대한 다각도 해석이 매우 흥미로웠습니다. 전문가님들 모시고 이렇게 휼륭한 해설을 들을 수 있다는게 행운처럼 느껴지네요. 좋은 시간 마련해주신 알릴레오북스에 깊은 감사의 마음 전합니다 ~
68,68,덕분에 유익한 시간 보내는군요.. 고맙습니다.
69,69,"알릴레오 북스로부터 오는 소확행이 있었기에 21년 한 해 동안 경험했던 많은 피로를 잘 해소할 수 있었습니다.오늘도 피로를 날려버릴 즐거움을 주신 유시민 작가님, 조수진 변호사님, 장동선 대표님, 이항심 교수님, 알릴레오 관계자 분들께 진심으로 감사드립니다.새해 복 많이 받으세요!!!"
70,70,유시민 선생님은 저에게 쑥과 마늘 같은 존재 이시라 감사할따름입니다.늘건강하시고 조금이라도 행복하시길 바랍니다.^^
71,71,새해 첫날 공감에 대한 이야기를 듣고 나를 돌아보는 시간이 되었습니다~만드시는 분들 모두 모두좋은일들로 가득한 한해되세요~^^
72,72,결핍이 동인..외상 후 성장을  부분적으로느끼면 사네요.알릴레오 고마워요
73,73,새해 복 많이 받으세요.
74,74,"우리나라 대중 심리 서적의 근본적인 문제는 미국의 대중 심리 서적이 대부분을 차지하는 것이다. 응용/대중/교양 심리학은 특정한 사회의 문화적, 정신적 가치관과 철학을 바탕으로 깔고 있기 때문에 특정한 나라에서 생산된 심리학 저작만 소개되는 것은 제한된 가치관 만을 주입하게 된다. 그런 측면에서 장동선 박사같이 유럽에서 학위를 받은 사람이 출연하는 것은 바람직한다."
75,75,수고하셨습니다 고맙습니다 사랑합니다
76,76,평소 공감의 가치를 알고 실천하려고 노력하지만 쉽지 않았는데 공감에 대한 다양한 관점과 지나친 공감의 문제도 알게 해주는 좋은 책이네요.
77,77,이번 공감에  대한 토론..다른 그 어느때보다 넘넘 좋았어요~다음주도 너무 기대 되고  유작가님. 조변호사님 .출연진 제작진 모두 건강하시고 행복한 한해 되시길 바랍니다^^
78,78,새해복많이받으세요 
79,79,조수진 변호사님 항상 따뜻하고 편안하게 진행해주셔서 알릴레오 듣는게 더 즐겁습니다.두분 모두 새해에도 건강하시고 오랫동안 좋은 책들 많이 소개해주시길.
80,80,"유작가님~ 이번 편도 재밌게 봤어요. 얼마전 베블런의 유한계급 편을 봤는데.. 제가 유작가님께 드리고 싶었던 나름 위로의 말을 유작가님께서 베블런의 입을 통해 사람들에게 하고 계시더라고요. 경계 위에 위태롭게 서계시다가 인간혐오의 낭떠러지로 떨어지실 것 같았는데, 한 번 구르기 시작하면 데굴데굴 너무 잘 굴러 떨어지실 것 같았는데 ㅋㅋ깨달았어요. 아... 유시민 걱정이 세상 젤 쓸데 없는 걱정이었구나. 나나 잘하잨ㅋㅋ날카롭게 빛나는 지성의 힘으로 경계 위에서 끊임없이 위태롭게 균형 잡으며 뽀에버 탐구해 나가시길.  새해  복  많이 받으세요~"
81,81,장동선 박사의 자연스러운 선한기운이 너무 좋다. 알쓸신잡때보다 더 성장하신듯..인간적으로나 방송적으로나ㅎㅎ
82,82,그래도 서로에 대한 배려적 공감을 계속하는 것이 좀 더 나은 세상을 만들어 가는 하나의 방법이라고 봅니다.알릴레오 북스 너무 좋아요..새해복많이 받으세요.
83,83,두 분 새해 복 많이 받으세요알릴레오북스따라 책을읽기 시작했습니다개인적인 삶에 많은 변화가일기시작했습니다알릴레오북스 오래토록함께하길 희망합니다뵙게된 장동선박사님 이항심교수님 고맙습니다
84,84,유시민작가님 존경합니다 조금만 더 자주뵙게해주세요 이렇게 좋은 프로그램 넘 감사드립니다
85,85,2021년 한해 알릴레오 북스로 풍성해진 것 같아서 감사드립니다!한해 동안 수고하셨습니다!2022년에도 풍요한 지식 전달 기대요~건강하시고 행복하세요~공감은 지능이다 토론이 귀에 쏙쏙 들어 오네요~명쾌한 토론 감사!감사!!
86,86,"알릴레오를 시청하는 모든 분들, 새해 복 많이 받으세요~"
87,87,알릴레오북스 2022년도 화이팅 합시다 ㅇ우리 유시민 작가님 사랑합니다
88,88,2021년 수고 많으셨습니다.너무도 감사합니다.계속해주면 너무도 좋겠습니다.그리고 두분다 건강하세요♡
89,89,한해동안 감사했습니다 알릴레오 북스
90,90,새해에도 좋은책 많이 소개해주세요! 건강하시고 새해 복 많이 받으세요!
91,91,즐겁게 공감하는 시간이었습니다.네분 모두 건강하시고 행복가득한 2022년 되시길..
92,92,어려웠던 한해 유 작가님. 조수진 변호사님 감사하게 시청하였습니다.새해에도 좋은 모습 보고 싶습니다.사랑합니다.
93,93,유작가님 존경합니다. 사랑합니다. 감사합니다.
94,94,친절함을 위한 전쟁/공감은 지능이다.완전 몰입해서 봤어요~~2022년에는 공감능력을 키울 수  내가 되어봐야겠어요~ 작가님과 같이 책을 읽으면서요^^새해 복 많이 받으세요~ 감사합니다 ^^
95,95,한해 동안 고마웠습니다!건강하시고 새해 복 많이 받으세요!
96,96,공감에 대한 다양한 이해 잘 들었습니다.감사합니다.응원하고 지지합니다.
97,97,한해동안 알리레오북스 보고 듣다보니 스스로가 대견해지네요. 우리 사회에 도움을 주는 방송 장수하길 바라며 감사드립니다.
98,98,"알릴레오북스 덕분에 지적인 욕구가 해소되고, 깊이 있는 토론을 통해서 다양한 사고를 접하게 되니 고맙습니다.응원하며 항상 함께합니다. ♡☆"
99,99,한국사회에 유시민 작가님같은 분들이 많았으면 좋겠어요
100,100,유시민아저씨도 새해 복 많이 받으세요
101,101,"늘 감사합니다. 이렇게 집 안 방구석에서 품격높고 지적인 시간을 편한게 볼 수 있는것만으로도 참 좋네요. 유시민 작가님, 조수진 변호사님, 그리고 스텝분들 건강하시고 새해 복 많이 받으세요^^"
102,102,공감의 여러면을 알게 되어 재밌고 기쁨이 충만합니다. 제작진분들 출연진분들 정말 고맙습니다!
103,103,새해 복 많이 받으세요^^
104,104,저는 부처님도 마더테레사 수녀도 아닌 지식소매상으로 열심히 활약해주시는 유시민 작가님이 좋습니다! 업으로 충분히 연대를 이끌어내고 계시니 무거운 마음은 이미 덜어내셨길 바랍니다! 이것이 3번째의 행동하는 공감! 맞죠~? ㅎㅎㅎ
105,105,유한계급론 다 읽었습니다. 이기적 유전자도 다시 도전해 보려구요.
106,106,유시민 작가님이랑 너무 잘 어울리는 독서 토론 ~~덕분에 좋은 책을 만날 수 있어습니다.새해도 건강 하세요.
107,107,알릴레오 북's.. 고맙습니다.유 시민 작가님. 조 수진 변호사님. 수많은 패널분들 그리고 수고하시는 스태프들건강하고 힘찬 새해가 되십시오!
108,108,"새해에도 유익한 방송 기대합니다, 감사합니다, 새해 복 많이 받으세요"
109,109,"알릴레오 북스 덕분에 조금이라도 유식해지고, 공감능력이 향상되어지기를 기대하고 있는 구독자이며 팬입니다. 유시민님, 조수진변호사님 한해동안 정말 고마웠습니다.Happy New Year 2022!새해 복 많이 받으세요"
110,110,일에대한 연대 저의 소견 나보다 능력이 떨어지는 사람과 같은 임금으로 일하는데 문제가 없었습니다 그런데 새로들어오는 직원이 나보다 일도 못하면서 더 많은 임금을 받는것을 보면서 임금에대한 불신이생겨평등한 임금이 깨지기 시작하며 직장조차 미워져 버렸습니다 일(임금)에대한 연대가 저는 깨져 버렸습니다 .
111,111,공감에 대한 다양한 해석들을 이해하는 시간 좋았습니다~ 직업이 연대다! 너무 마음에 꽂히는 말입니다^^
112,112,장동선 박사님 정말 명쾌하십니다.  이해가 너무 잘 됩니다..최고십니다.사람을 기분좋게 하시는 힘이 있으신 것 같습니다.
113,113,알릴레오북스 넘 좋아요!^^생각의 힘을 키워주셔서 감사합니다♡
114,114,역대급 유익하면서 유용한 책이네요! 작가님 고맙습니다 좋은책소개해주셔서 ㅎㅎ
115,115,공감을 동일시와 투사와 분리하는데 도움이 되었어요. 좋은 책으로 나눠주셔서 감사드립니다
116,116,유시민 작가님 새해 복 많이많이많이 받으시고 항상 건강하세욤.^^ 수진님도 행복한 한해되시고 알릴레오 계속 흥하길 바랍니다!!!
117,117,유시민 작가님 새해 복 많이 받으세요!작년 한 해 알릴레오 덕분에 조금 똑똑해진 것 같아요ㅎ올해도 잘 부탁드립니다. 열심히 따라갈게요~!
118,118,이번회 너무 재밌게 봤어요 ㅋㅋㅋㅋ 프로 공감러들이 알기쉽게 말해줘서 좋았습니다!!!
119,119,"올해도 지적 재산을 나눠주실 유시민 선생님,조변호사님, 알릴레오 팀들 모두 고맙습니다.건강하시고 행복하시길 기원합니다~^^"
120,120,유시민님 말씀 대체적 많은 것 을 공감합니다 앞으로도 더 좋은 말씀은로 귀감되시는 말씀을 해주시면 감사합니다 건강하세요
121,121,"물론 알릴레오는 거의 모든 편이 다 유익하고 재밌지만 이번 편 정말 역대급으로 재밌네요평상시 고민하던 문제들이기도 하고 내가 이유 없이 불편하거나 화가 나는 이유는 어떤 개념을 몰라서 일 수도 있단 얘기 정말 공감 돼요. 예전에 어느 자리에서 그런 말씀을 하셨는지는 기억이 잘 안 나지만 유작가님이무슨 임금,왕을 비유로 말씀 하셨던 것 같은데, 여하간 착하게 산다는 건 먼저 무언가를 불쌍히 여기는 마음이 첫번째고그걸 느꼈으면 각자 자신이 할 수 있는 만큼만 하고 사는 게 최선이고 그걸로도 충분하다 라는 취지로 말씀하셨었는데 그 말이 기억이 나네요. 그 이후로 저는 그런 마음이 너무 안 느껴질 때는 일부러 더 공감하려고 노력을 하고 반대로 너무 몰입한다 싶을 때는 작가님 말씀하셨던 것처럼 ""그래 내가 할 수 있는 만큼만 일단 하고 살자""라고 위안을 얻고 살고 있습니다"
122,122,한해동안 감사했어요!!!!새해에 더욱 좋은 시간 갖을수 있기를!!!!
123,123,2021년 알릴레오 북스로 즐겁고 행복하게 보냈습니다.감사드립니다. 2022년에는 더욱 기대됩니다.
124,124,"오늘 초대손님 두 분의 쉬운 설명, 넘 좋아요. 큰 도움이 됩니다. 감사드립니다~~~"
125,125,공감에 대해서 다시 한번 생각해 보게 되는 좋은 시간이었습니다! 감사합니다  새해 복 많이 받으세요~
126,126,"은밀하게 나만 느끼고 있는것같았던 공감의 레벨, pros and cons을  참고 문헌들과 함께 토론해주셔서 감사합니다. 나만 이상한 사람이 아니라서 다행이란 생각이 들고 인간에 대한 그리고 나에 대한 이해를 높일 수 있어서 너무 좋았습니다. 애쓰셨습니다."
127,127,"벌써 일년이 되었네요... 아! 꾸준함의 힘이란! 덕분에 알찬 한 해 보냈습니다. 알릴레오 북스, 감사합니다."
128,128,알릴레오북스가 있어서 2021년 한해 행복했습니다. 감사합니다.
129,129,"건의사항:: 철분과 중금속의 차이,  환경호로몬의 섭취 과정,  미세프라스틱의 인체 흡수경로와 인체에 미치는 영향. 이러한 주제를 다룰만한 책이 있을까요?환경에대한 주제는 다뤘지만, 더 나아가서 유해식품의 정의와 종류 안전한 먹거리에 대해서도 한번 다뤄 주세요"
130,130,새해 복 많이 지으세요
131,131,새 해 복 많이 받으세요!!함께여서 좋습니다..^^
132,132,"나를 마음과 생각에 깨어있는 것이, 나를 지키는 동시에, 타인과 사회를 건강하고 친절하게 만든다는 것을 확인할 수 있어 좋았습니다. 알릴레오북스 최고!"
133,133,"유시민작가님, 조수진변호사님 새해 복 마니 받으세요~"
134,134,공감 능력 제로인 소시오패스만 봐도 타고 난다 공감. 공감 못 하면 그냥 계속 똑같아
135,135,너무 유익합니다 감사합니다 새해에도 다들 건강하시길 바라고 호랑이 기운으로 모든 국민이 다시 힘내시고 코로나 극복했으면 합니다 어~~흥
136,136,"언제 들어도 유익하며 얻는게 많구 특히 크게 공감합니다.이런 기회가있고 앞으로도 계속 시청 할수 있을것임에 흐뭇합니다.유작가님, 조변님 한해동안 수고 많으셨어요고맙습나다.첨 고마워요건강하구 행복하셔요!!!"
137,137,"치매 어른을 위주로 케어하는 요양보호사로서, 공감하면서도 냉철한 자신의 모습이 나쁜것만은 아닌것 같아 도움이 되었습니다."
138,138,유작가님 항상 건강하시고새해 복 많이 받으세요️
