,Unnamed: 0,댓글
0,0,국내에서 사용하는K2가 80억이구요 폴란드 K2PL은 7개 보기륜과 방호력 강화 등  현재 대한민국K2와는 조금다른 업그레이드 형 입니다 .그래서 양산대수에 따라 가격이 다운되겠지만 현재 120억 에서 150억 사이로 가격이 형성 되었습니다 .
1,1,이기 사막용이지!
2,2, @권오은  ㅈ
3,3,"원론적인 이야기이지만. 보병과 전차는 적의 기지를 점령하는 제 1순위 자원이다.미사일과 항공자원은 적의 핵심지역을 타격하여 전쟁을 지배하지만, 전쟁의 끝은 결국 점령전이기 때문이다."
4,4,우리나라 전차들이 러시아탱크를 모티브로 태어났기 때문에 러시아보다는 한국산이 좋지 불곰사업 잘 성공한 케이스
5,5,좋은전차인 것은 사실이나 현재 T-14아르마타 신형 전차가 나온 마당에 흑표가 더 구형이면서 스펙도 딸리죠..
6,6,이런 얘기는 우리나라 전국 방송에서 나왔으면 좋겠다 진심으로...
7,7,3천마력 파워팩  개발  시작합시다.  시간이  많이 걸리는  만큼  4세대  전차를  미리 미리  준비합시다.
8,8,"흐억 !   3,000마력이면 ,,, 탱크를 하늘로 쏠려고요 ?1,800 마력 정도면 다음 세대 준비 가능하죠 ,,,"
9,9,3천마력ㅋ 진짜 하늘를 날라 댕기겠네 ㅋ
10,10,진짜 팩트있게 설명을 해주는 디씨멘터리 믿고 시청하고 있습니다~^^
11,11,"탱크 평가에 있어 내구성 9,600Km 가 나온 배경은 ,미국 동부 ~ 서부까지 왕복 주파거리를 상정한 것이고 ,대한민국은 부산-신의주-북경 (또는 블라디보스톡) 왕복 하는 6,000Km 면 충분 합니다."
12,12,이집트는 아프리카라기보단 반은 유럽이나 마찬가지...6:32 사나이반도가 아니라 시나이반도예요
13,13,우리나라 무궁한 발전을 응원하다..
14,14,음 수출금액에 있어 허수가 있네요. 천궁은 4조원이 거의 그대로 들어오는 반면 k2는 대부분이 현지생산을 할 예정이라 사실상 라이센스 계약에 가깝죠. 즉 6조든 그 이상이든 다 우리 돈이 아니죠. 우리나라에서 완성품으로 파는게 아니라서. 그래서 어떻게 보면 완성품으로 수출하는 미사일이 더 효자무기일수도
15,15,정말 신나는 일인데 전부 사람을 얼마나 효율적으로 잘 죽이는 최첨단 무기를 많이 만들고 수출 하느냐이니  인간의 육신의 생각은 사망이 목표 인가보다
16,16,탱크 K2 흑표세계1위 대답합니다.현대로템 응원합니다.대한민국의 자존을 우뚝 높여줄 K2흑표^^화이팅~!!이정도면 100억씩 받아도 되겠는데~
17,17,이번일로 이집트가 은근히  돈이 많다는 걸 알았습니다
18,18,수에즈 운하를 운영하는나라가 돈이 없으면 말이 안되죠...
19,19,꼭 테스트를 무사히 넘기고 4차 양산해서계획한 목표수량 700대를 양산 하면 아직 수입을 고려하고 있는 폴란드 체코 헝가리 슬로바키아 등 유럽에 수출이 확실하겠죠
20,20,항상응원합니다
21,21,그냥 움직이는 쇠덩이로 바꾸고 안에 센서만 튼튼한거 넣고 후방에서 미사일과 자주포로 때려 넣고 무장은 최소화하고 들이받는 충차로 만들면 어떨까?
22,22,항상 잘  보고 있습니다 감사합니다
23,23,"이스라엘은 자주포 ,탱크 정도는 이스라엘 군전력에 비하면 조족지혈이죠신경두 안쓰죠"
24,24,이러다 다들 우리 전차 가지고 싸우는 상상을..;;
25,25,참 신인균 저인간이 국산 파워팩은 절대 안된다고 쌍손들고 말리던게 엊그제! KF-21도 방산비리라고 떠들었다가 개발이 잘되니 입다물고 있는 작자! 군사 전문가라기 보다는 정치꾼!
26,26,"2015년 10월 신문기사 [ 심상정 정의당 대표는 29일 박근혜 대통령이 한국형 전투기 사업(KFX) 강행을 지시한 것과 관련, “예상을 크게 벗어난 대통령의 결정은 그동안 KFX 사업 난맥상의 본질이 무엇인지 확인해주었다”며 “그것은 국정 교과서와 마찬가지로 전투기 사업의 총지휘자도 박근혜 대통령이라는 사실”이라고 일갈했다. 심 대표는 이날 오전 국회에서 열린 상무위에 참석, “‘국제공동개발’과 ‘기술이전’이라는 당초 사업의 전제가 송두리째 날아간 KFX사업은 이대로라면 ‘혈세 먹는 하마’가 될 것”이라며 이 같이 말했다. 심 대표는 “국회 국방위원회 위원장은 물론이고, 보수언론과 합리적인 안보관련 인사들 모두가 한 목소리로 원점재검토의 불가피성을 말했던 사업으로 여야가 한 목소리로 사업 제고를 요청하고, 예산낭비에 대한 국민의 우려가 컸던 사안이다”며 “그런데도 방위사업청 보고 자리에서 박근혜 대통령은 그간의 무능과 혼란에 대한 책임을 묻는 대신, 사업을 계속 추진하고 대국민 홍보를 강화하라고 지시했다”고 비판했다. 출처 : 뉴스퀘스트"
27,27,한국 무기들 색이 참 예뻐비취색 혹은 은은한 비취색 띄는 노란색 쪼아~♡
28,28,이집트에는 팔면 안됩니다.  한국의 동맹인 이스라엘과 붙으면 안되기 때문이기도 하고 또한 미국의 탱크 교체 및 자주포 사업에도 영향이 있기 때문이기도 합니다.
29,29,"호주는 수출로는 7번째 국가이고,수출금액은 1조 살짝 못미치는 금액임"
30,30,말씀대로 기도할려면 성경을 읽고 깨달아야합니다 마찬가지로 순종도 하나님의 뜻이 무엇인지 알아야 순종하는것입니다 그렇기 때문에 창세기부터 요한계시록까지 공부하는 겁니다 하나님의 뜻을 알아야 하나님뜻대로 기도하고 순종하기 때문입니다 예를들어 하나님께서 죄를 버리고 사랑하라고 했기 때문에 하나님 아버지 교만과 악함과 이기심과 미움을 용서해 주시고 사랑하고 겸손하게 하여 주셔서 하나님의뜻을 이루어 살게 하옵소서 라고하세요
31,31,S&T 변속기 시험때 부서진 볼트도 독일산 볼트... 결국 독일이 K2의 수출을 막으려고 S&T에 불량품을 판 것으로 생각됨... ㅋ 그리고 변속기까지 완료되서 수출할거면 계약하고 독일때문에 못 팔고 있는 오만에 먼저 수출해야지...
32,32,K2전차 폴란드에 차체만 수출하면 대당 80억이 안될건데요. 그리고 이집트도 현지 생산하는데 제품가격에서 현지 조립생산하면 기술이전료와 일부부품값만 받는것 아닌가요?
33,33,이집트가 이스라엘과 사이가 나쁘다면 이스라엘에서 한국에게 이집트에 팔지 말아달라고 부탁했겠지요.한국과 이스라엘은 국방분야에서 협력중이라 입김이 약하지 않으니까요.이스라엘이 딱히 말이 없는걸 보면 이스라엘과 이집트간 군사적 충돌 걱정은 없어보입니다.
34,34,헉! 신씨가 거기서 왜나와?????
35,35,현재 이스라엘도 이집트랑 사이가 좋고 싶은지 지중해에서 발견한 이스라엘 가스전중 한곳을 이집트에 선물로 줬습니다. 현재는 둘이서 사이가 좋은 바람에 타 아랍국가들 속이 끓는 상황이라고 합니다.
36,36,"@.@   우리나라가 이스라엘에 위협이될  무기를 수출 할리가 없죠...터키에  위협을  느끼고  무장하는 거라던데......신인균씨는   전문가 라기 보다는 이제 유튜버....""세상돌아보기""  참고하심이 좋을듯"
37,37,사나이반도가 아니고 시나이반도입니다..ㅋㅋㅋ 진짜 사나이들만 사는 땅인가?ㅋㅋㅋ
38,38,수고하십니다 화이팅 널리널리 퍼져나가길
39,39,우리는 아직 부족해.... 더 치를 떨어야 된다구! 적들이!
40,40,이집트는 그리스와 형제국가라 괜찮아요.
41,41,"저기 혹시 K9 대당 가격이 올랐나요? 제가 님 채널및 다른 군사 채널 보곤 하는데 그때 대당 가격이 50억이라고 했거든요.이건 기사 발취 입니다""호주 정부는 3일 K-9 자주포를 육군 현대화 프로젝트 중 하나인 ‘랜드 8116 자주포 획득 사업’의 단독 우선공급자로 선정했다고 밝혔다. K-9 제작사인 한화디펜스는 호주법인(HDA)을 주축으로 호주 정부와 가격 협상 등을 한 뒤 양산 계약을 맺을 예정이다. 1차로 K-9 자주포 30문과 K-10 탄약운반장갑차 15대를 납품한다. 호주 정부는 이번 사업에 총 13억호주달러(약 1조1000억원)의 예산을 편성했다. 육상 무기 수출로는 최대 규모다.""- 한국 경제 TV""-혹시 괜찮으시다면 금번 호주와의 계약 건에 대하여 아니 K9 대당 가격이 얼만지 알수 있을까요??"
42,42,신인균씨는 KF-21개발을  반대하고 F35  수입찬성론자로  돈 낭비라고 말했던 사람
43,43,중국 PLZ45는 K9과 외형이 굉장히 비슷하네요ㅋ 기술거지들이 외형만 비슷하게 만들어서 배가 부르겠어ㅋ?원천기술도 없는데ㅋ비 내리면 운용은 가능하나ㅋ?
44,44,화면 게시글보고 빵 터졌음.
45,45,호주에 수출가가 9천억 약간 웃돈다던데.. 2조원인가요..?ㅋ 뭘 더 팔았나요..?ㅋ
46,46,이스라엘과의 관계도 생각해야지
47,47,"독도를 대한민국 영토라고 지지하는 유일 국가 , 이스라엘 ,,, 고맙죠."
48,48,저러다 러시아한테 미움 받는 거 아냐?ㅎㅎㅎ
49,49,K2전차무인전차 2500여대개발생산보유배치운용수출할수있다면유인전차 2500여대개발생산보유배치운용수출할수있다면
50,50,우리나라 무기들 러시아기술배워서 만드는건데요?
51,51,아 신인균 이름 나오자마자 껏다.  이번편은 그만 알아보도록 하자.
52,52,러시아는 일단 무기 성능이 아니라 물량으로 밀고들어옴..
53,53,8:14 자료 화면 K2 애기 하면서 북한전차가 왜 나오나요? 알고 자료화면 써주세요
54,54,1등이다^^~
55,55,다음부터 전문가 인용하시려면 신인균은 패스하시길
56,56,감사합니다.
57,57,이탈리아는 무슨무기를 파는데 10위권인가요?
58,58,뒷거래만 없기를...
59,59,당연히 한국에게 몰빵하는게 낫지~~~잘했져!!!
60,60,2조원 아니라........1조 5백억 정도인되!!
61,61,러샤는 우리나라를 나라로도 안봄 ㅋㅋㅋ 때릴이유도 겨냥할 이유도없지만 그렇다고 방공식별구역 지맘대로 넘나드는꼴 보고있으면 걍 어쩔티비란 뜻밖에 없음
62,62,사막에서?완벽히 누가그래!
63,63,오래전 노통때 우리나라에서 비밀리에핵잠건조계획할때 신인균 저 사람이 폭로해서 미국에서 중지시킨걸로 아는데 그사람이 맞나요 ?
