,Unnamed: 0,댓글
0,0,맹금류들도 한번 다뤄주세요 ㅎㅎ
1,1,참고하겠습니다🦅
2,2,동물의왕국 성우님 목소리도 나근나근하고 다큐에 아주 적합해서 더 좋음.
3,3,성우님의 sweet한 목소리와 함께 꿈나라로 ~~~~😴 🛌 💭
4,4,"오, 좋아 좋아 동물의왕국 짱 좋아했었는데 유튜브에서 동물과 자연 다큐 긴 영상이 나오네 ㅎ 구독하고 올라오는 영상 매일매일 봐야지~~ 잠들기전 최고의 선택이 될듯!"
5,5,응원 감사합니다❤️국내 최고 동물 다큐멘터리 채널 답게 수준 높은 콘텐츠로 보답하겠습니다👍👍
6,6,진작에 kbs에서 유튜브채널 동물의왕국 만들었다면 조회수대박났을듯 하네요 자기전에 듣기도 딱이거든요ㅎㅎㅎ앞으로 기대합니당
7,7,ㅎㅎㅎ앞으로 기대해주세요😉재미있는 다큐멘터리가 대거 대기중입니다
8,8,늑대 보면 볼수록 묘한 느낌입니다 우리나라에도 예전에 늑대 있았다고들었어요
9,9,늑대는 눈이 참으로 신비로운 동물입니다🐺
10,10,심쿵 포인트16:0821:44
11,11,어멋 심쿵💘
12,12,저도 동물왕국 너무 좋아요!~ 항상 신비롭고.. 잘 보고있습니다.
13,13,응원 감사합니다🥰
14,14,난 티비를 보기어려운 환경인데 이렇게 폰으로도 동물의왕국을 볼수이ㅛ게됬다니!
15,15,너무좋아 드디어 유튜브에서 동물의왕국을 보는구나ㅜㅜㅜㅜㅜㅜㅜ
16,16,독사 한번 다뤄주세용!
17,17,참고하겠습니다 🐍
18,18,찾아헤매던 콘텐츠와 채널…❤️‍🔥
19,19,구독자님 아주 잘 찾아오셨습니다🙏
20,20,크 감사합니당 😆 👍
21,21,😁👍
22,22,몇십년을 하는건가.은근은근히  재밌어요.
23,23,괜히 KBS 대표 장수 프로그램이 아니지요ㅎㅎ
24,24,북극여우 ♡♡♡♡♡♡♡♡♡
25,25,개과는 하이애나만 빼고는 전부 귀엽구나!
26,26,근데 아무리 봐도 '갯과'라고 쓰면 갯벌에 사는 뭔가처럼 느껴져요. ^^;;
27,27,하이에나는 개과 아니에요 ㅎㅎ
