,Unnamed: 0,댓글
0,0,빙어가 이렇게 맛있는줄 몰랐어!!! 또 가야겠다!ㅋㅋ
1,1,상렬이형~ 너무 멋있어요
2,2,민물의 왕께서 빙어 맛을 모르셨다니...
3,3,빙어야 도망가 멸종위기에 처해지기전에ㅋㅋㅋㅋ
4,4,중간에 여러분이 빙어낚시 하다 무심코 하는 행동 베스트 1위 있는데 알고보면 어이없을거지만 ~~~재밌게 보셨으면 좋아요 꾸욱~영상 잘만 보셔도 빙어낚시하시는데 큰 도움이 되실겁니당^^
5,5,넘 재밌어용
6,6,재밌겠다
7,7,ㅋㅋㅋㅋ
8,8,"브르 여친 ,,,?"
9,9,너무 재밌어요 브르님
10,10,회로먹는건 저두 반대 이지만 99프로 구더기는 삼키지 못합니다~ 구더기 걱정은 안하셔도 될듯~ 그리고 빙어용 구더기는 안전하게 사육된 무균구더기 이기도 하고 먹어도 단백질 추가라고 보심 됩니다 ㅎㅎㅎ
11,11,예전에 빙어가 1급수에만 산다고 했으나 빙어는 3급수까지도 살 수 있을만큼 오염변화에 적응력이 강한 친구라고 하더군요하지만 맛있는건 포기 할 수 없숴...ㅠㅋㅋㅋ
12,12,정말 추억 만들기 딱 좋네요. 빙어 낚시 가고 싶어지는 영상입니다ㅎ
13,13,와 드뎌 언제나올까...? 했던 빙어낚시! 아주재미있었겠네요!
14,14,"안녕하세요 함께했던 구독자이자 유튜버인 ""박두곡"" 입니다! 정말 즐거운 시간이었습니다.함께해서 즐거웠고 기회가 된다면 또 뵙고싶네요~ ㅎㅎ새해복 많이받으세요 브르님!"
15,15,빙어 맛은 정말.. 와.. 이건 여러분 먹어봐야 압니다.
16,16,와!! 두곡이형!!! 성공했구나!!
17,17,브르님 너무 추워보여요....추운데 고생 많이 하셨네요빙어낚시 너무 재밌을것 같아요
18,18,진짜 많이 잡으셔서 다행이네요
19,19,오늘은 혼자 가셨네요…. 라고 생각 했는데 채니아빠님도 같이 가셨네요…ㅋㅋㅋ빙어 낚시 봐서 재미있었습니다!
20,20,오우야 채니아빠님 과 같이 가셨군요 ㅎㅎ빙어 정보도 많이 알려주시고 좋습니다 많이 잡으셨으면 더 좋았을텐데요 ㅎㅎ
21,21,와 많이 잡으셨네요 전 이틀전에가서 달랑세마리...장소가 틀렸나봐요 혹시 가신곳 가르쳐 주실수 있으신가요?전 인제로 갔었거든요
22,22,빙어 1급수에서만 사는줄 알았는데 알고보니  등급 외 급수에서도 살 수 있고 판매하는 빙어 다 똥물에서 잡아오는거 보고 충격이였는데
23,23,이 영상 보니까 준하형이 무한도전 '오호츠크해 특집'에서 잡은 빙어를 라면 스프 뿌려서 바로 먹은게 생각나네요 ㅋㅋㅋㅋ
24,24,반복적인 고패질... 초릿대  입질때 서너번의 챔질 후 올리심 좋은 조과가 있으실 거예요. 수심층도 중요하지만 빙어는 가만히 있는 구더기 잘 안 먹어요..
25,25,브르님 빙어는 잡히지 않으면 구더기를 바꿔 주셔야 해요구더기에서 나오는 진액의 냄세를 맡고 오는겁니다
26,26,빙어튀김은 맛있어서 대전 엑스포에서 겨울행사할때 스케이트 한번 타고 배부르게 먹었었는데 먹고는 싶은데 빙어는 너무 귀엽잖아ㅠ
27,27,헐.. 어릴때 아버지따라 놀러가면 횟집에서 파는 빙어 쌩으로 엄청먹었는데...
28,28,항상 재미있는 영상 감사합니다.
29,29,저는 강원도 춘천 오월리로 갔는데 새벽에 엄청 잡혀요ㄷㄷ빙튀꿀맛!!
30,30,빙어 태어날 직후를 키우려면 3cm일때 해수적응하고 10cm됬을때 민물에 적응시키고
31,31,영상 재밌게 잘 보고 갑니다 브르님
32,32,브르님 좋은. 영상. 올려 줘서. 감사합니다. 파이팅
33,33,얼음낚시 할때는 첫째도 안전 둘째도 안전!
34,34,일만 아니였으면 저도 가는건데 아쉽네요 ㅜㅠ 한번 더 오세요!!!!!
35,35,브르님 요시 근황좀 보여주세요!! 궁금해요 ㅎㅎ
36,36,빙어 많이 잡으셨네요 귀여운 빙어들 오늘도 잘 보고 갑니다~^^
37,37,"근데 빙어 귀엽다면서 먹는건 또뭔  논리에요?,,"
38,38, @와샌즈!  저는 안먹는데요
39,39,기달렸다구우!!! 빙어 잡으러 가즈아
40,40,"와... 1타 3피 오랜만이네요 ㅋㅋ 전 가족들이랑 빙어낚시 갔다가 1타 4피, 1타 5피도 잡은 적 있답니다 ㅋㅋ 어쩌다보면 1타 6피도 잡은적 있다는거 ㅎㅎ"
41,41,빙어 잡기 저도 해보고 싶네요
42,42,브르님 오늘도 재밌게 볼게요.
43,43,영상 잘 보고 있어요어탐기 정보좀 주세요~~
44,44,송어잡으러 부산에서 강원도 까지 갑니다 응원 한번만 해주세요
45,45,빙어낚시 재밌어보여요
46,46,와우 빙어~~
47,47,어렸을때 겨울에 시골가면 큰아빠가 식당데려가서 살아있는 빙어 초장에 찍어 먹었는데 그 고소하고 부드러운 빙어 크...
48,48,빙어를 튀겨 먹으니까 해산물을 못먹는 저도 정말 맛있게 먹었습니다
49,49,저도 빙어낚시 가고싶어요!  설마 붕어가 잡히나?
50,50,빙어는 아주 맛있는 생선이죠
51,51,빙어 낚시가 재미있긴 하나보네욤
