,Unnamed: 0,댓글
0,0,어제  번개방송  깜짝 놀랬어요 많은 분들에게 즐거움과 행복한 시간을  갖게해주셔서 감사하고 아주 신나는 도연나이트에 열기 짱이였습니다~~수고하셨습니다~~ 
1,1,연자님 안녕하세요^^어제는 저도 넘 즐거운 방송이였답니다~ 늘 응원잊지않고 해주시니 감사드립니다^^
2,2,"깜짝 벙개방송에 ""자연스러운 영업과 예약 전화통화"" 홀에 계신 손님들과 채팅창에 참여한 팬분들까지 모두 챙기시면서 노래부르시면서 자연스럽게 진행하시는 모습에 박수를보냅니다.다양한 장르의 노래와 오랜만에 듣는 추억의 노래들으며 웃고 울며 즐겁고 마음따뜻한 시간으로 행복한 시간 만들어 주셔서 감사합니다~ 수고많으셨어요^^"
3,3,ㅎㅎ 어제는 저도 이러저런 에피소드로 즐거운 방송이였답니다^^
4,4,향상 오빠 노래는 내마음을  편하게 만들어죠요 향상 사랑합니다 
5,5,내마음속에님^^댓글남겨주시는 관심에 항상 감사드리는거 아시죠?ㅎ
6,6,아~~~형님~벙개참여 못했네요지금 재방다봤습니다~가게 팬분도오시공~^^오늘도 김도연나이트 달리셨네요~하이마트 직원분~춤도추시고ㅎㅎ재미있었겠습니다~^^재방시청 잘했습니다~
7,7,ㅎㅎ 어제는 깜짝벙개에 이런저런 에피소드가 많았던 방송이였네요^^ 종종 깜짝벙개 올려볼께요~~
8,8,자연스러움의옆집 아저씨같은도연님진행 멋졌어요 많은좋은노래 들려주셔서 힐링하고 즐겁게 잘 놀았습니다 감사 고맙습니다
9,9,산과들님^^ 아재아재하긴 하죠잉~ㅎ응원댓글에 항상 감사드리는거 아시죠?장사도 해야하니 어쩔수없이 멋찜은 포기하고 아자씨스퇄로 갑니다요^^
10,10,"실방할때 영종도에 있어서 귀팅만 잠깐 하고 재방 봐요수고하셨습니다,,도연 님!"
11,11,이제 봤네요 잘들었습니다 감사합니다 미국에서살고 있는 로드아일랜드 에서 수 테일러 건행  !  
12,12,수태일러님 안녕하세요~늘 건강하시길 바랍니다^^
13,13,나홀로 외로히~나이또~️️
14,14,재방합니다 
15,15,윤짱구님^^어제는 팬들이 오셔서 깜짝벙개했답니다^^
16,16, @김도연tv  네 도연가수님 행복하세요
