,Unnamed: 0,댓글
0,0,전기원분들의 수고에 정말 감사를 드립니다!!항상 안전에 만전을 가해주십시오!!
1,1,이런분들을 급여 많이 줘야합니다. 스타들에게 주는 관심 이런분들에게 나눠드립시다. 진짜 힘들고 위험한 일에 보상을 많이 주는 나라가 진짜 선진국이라고 생각합니다
2,2,궁금해져서 전기업에 대해 흝어봤는데 우리나라 정전시간은 세계에서 가장 짧은수준이고 전기품질도 세계최고수준이라네요편하게 쓰는 전기가 누군가의 안전을 희생해서 만들어진다니.. 현대시대의 제2의 군인으로 보이네요 일해주셔서 감사합니다
3,3,송전탑 고압 전류로 인해 사망할 수도 있는 굉장히 위험한 상황에서도 굉장한 담력과 체력으로 전기를 관리하는 송전원 분들 정말 존경하고 감사합니다.
4,4,미쳤다.... 진짜 곡예가 따로없네.. 보통의 담력과 체력으론 못하겠네요.. 존경합니다
5,5,정말 대단하다는 말밖에..여러분 존경합니다. 안전하게 일하십시오.
6,6,매일 가족분들이 얼마나 걱정을 많이 하실까요 .. 열악한 환경속에서도 묵묵히 고생하시는 작업자분들 너무 감사합니다.  항상 감사한 마음으로 사용하겠습니다.
7,7,저도요
8,8,저또한요
9,9,소중하게써야겠어요
10,10,사실 가족들이 잘모르는게 더 슬픈현실이네요
11,11,진짜 기술 담력 체력 다 만렙찍어야 할수있는 직업이네요 존경합니다 항상 안전하게 가정으로 돌아가시길...
12,12,와 진짜...... 진짜 정말 감사합니다..... 와... 보기만 하는것도 힘든데 정말 너무너무 존경스럽고 대단하시고..... 절대 절대 다치지 마시고 꼭꼭 안전 유의하시고 돈 많이많이 버세요ㅠㅠㅠㅠ
13,13,상상할수 없도록 엄청난 현장에서 실감이 전혀 못느낄정도 경직이 오네요.워낙 대단한분들 존재하다니 그저 존경할 따름입니다
14,14,진짜 작업자분들 존경합니다ㅠㅠ
15,15,정말 다들 제발 아프지말고 계속 건강하셨으면 좋겠습니다.. 정말 감사드리네요
16,16,진짜 존경스럽습니다. 이건 정말 아무나 할 수 없는 직업이다.
17,17,진짜 대단들하시고..존경스럽네요...늘 안전하세요
18,18,늘 곁에있어 모르는 전기의 소중함..  이분들의 노고에 박수를 보냅니다...진정한 극한직업 이네요;;
19,19,와.. 진짜 조심해서 일 하시길... 매번 사고 없이 무사히 업무 마치시길  바랍니다!
20,20,기술도잇어야하고 담력도 어마어마하게필요한데 ..진짜 대단하신분들이다 존경합니다
21,21,수고가 많으시네요...항상 안전하시고 정말 멋진 긍정의 마인드
22,22,저분들 진심으로  마음을 담아  존경합니다   화면으로  보고있어도  오금이  지리고  살떨리는데  대단하십니다저분들은  정말  돈을 많이  받으셔야  하겠습니다
23,23,보고 있는 내가 어지럽다 저걸 실제로 하다니 어휴 대단하네진짜
24,24,"돈 실제로 많이 받으시지만 그걸로도 부족한거같음 나는,,,, 연봉 억씩 받는다는데 생명수당 치고는 너무 적다는 생각이 듦..."
25,25, @백석   그렇죠  저분들의 노고에 비하면  턱없이 ㅣ부족하다고  생각합니다
26,26, @04에서10년생까지 구독하자  저 일 할려면 저쪽 분야에 수 십년을 받쳐야 합니다;;돈 적게 준다고 쉽게 관둘 수도 없음. 나이도 나이인지라 뽑아주는 기업도 없고기술자들한테 돈 장난 하는 새끼들이 가장 씹새끼들이지
27,27,거의 가미카제 수준인데 올라가는것도 안전장비 하나 없이 올라가고 말이 되냐? 진짜 해결 방법이 없어서 이렇게 하는건가? 그리고 이걸 보면서 보지가족부의 남녀 임금격차 통계가 얼마나 개 병신 헛소리인지 다시금 깨닫는다.
28,28,하루  일당으로  한  삼백만원은  줘야할거같은데
29,29,11:00 11:00 11:00 11:0011:00 11:00 11:00 11:00  이때부터  안전장비 없이  이동중인거임??? ㄷㄷㄷㄷㄷ
30,30,와...진짜 솔직히 화면만 보고 있는데도 속이 울렁거리고 오바이트 쏠릴라고 하네요...ㅠㅠ
31,31,일에 비해서 너무 적네 생명수당 포함인데
