,Unnamed: 0,댓글
28,28,어릴때는 겨우 담배라이터하나에 왜 그렇게 집착하는지 몰랐는데 스토리를 다보니 지금에서야 이해가되네요 ㅋㅋㅋ(어릴때는 방송으로버니까 거의 중간쯤부터보게되기도하고 집착에대해 잘 모르는때라그렇기도하고)
29,29,ㅎㅎㅎ 그러셨군요 이해되시면서 리뷰로 다시 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
30,30,저때부터 장항준감독은 방송에 욕심이 있었구만
31,31,네 생활감 있는 연기 장난 아니시죠 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
32,32,영화는 괜찮은 편이었는데 영화촬영 관련해서 사건사고가 많았었죠. 역에서 열차씬 찍을때 스테프가 열차에 빨려 들어가 죽은사건도 있었고 크고 작은 사건이 많은 영화였습니다.
33,33,아 그랬었나요~ 그런 사건사고가 있었던 거는 몰랐네요 영화든 방송이든 안전하게 영상제작되어 그런 사건사고가 없으면 참 좋겠습니다🙏🙏🙏 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
34,34,아무리 조그마한거라도 부당하게 자기것 권리를 앗아가면 목숨을 걸고 지키고 다시 뺏어와야한다는 귀중한 뜻이 담겨있는 수작입니다..지금의 현실에 교훈이 되는 명작입니다
35,35,네 작은 것이라도 누군가에게 그걸 뺐을 순 없고 빼앗겨서도 안 되죠~^^ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
36,36,옛날 영화 보면 지금은 유명해진 배우들 단역 시절 모습이 보여서 그 장면 찾는 것도 재미있구만요... 유해진 배우님도 그렇고 정우 배우님도 그렇고... 반갑네요~
37,37,네 쏠쏠한 보너스 재미도 있는 영화죠 ㅎㅎㅎ 저도 정우 배우님은 이번에 다시 보며 알았습니다😁😁😁 그리고 여러모로 재밌게 보신듯해 저도 기분이 참 좋고 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
38,38,"2002년 작품인데,  정우 배우는 20년이 지났는데도 그대로네요."
39,39,몇번을 봐도 명작 요즘 공중파건 영화전문 케이블 채널이던 명절에 명절전 분기 흥행작들 사이에 분기에 망한 작품들 끼워 넣을바엔 이걸 해주는게 어떨까 싶을정도로 라이터를 켜라가 명작이라 생각됨
40,40,네 나름 메세지도 있고 참 재밌는 코믹띵작이죠~^^ 리뷰도 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
41,41,이거 기대안했는데 은근히 재미있었음 주인공 봉구가 라이터300원짜리에 집착하는건 별게아니라 가진게없지만 내 마지막 자존심이라고 생각해서 대입이 더 잘됬어요
42,42,네 찌질한 봉구가 라이터에 인생 의미를 부여하고 결국 영웅이 되고 자신감 뿜뿜한 봉구로 바뀌는 스토리가 참 좋죠 희망적이고요 물론 배우들의 코믹연기들도 배꼽 빠지고요 ㅎㅎㅎ 리뷰로도 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
43,43,명작이고 걸작이다 요즘 버전으로 다시 만들어도 재밌을듯 ㅎㅎ
44,44,네 참 재밌고 메세지도 있는 코믹띵작이죠 ㅎㅎㅎ 그리고 리메이크 됐으면 참 좋겠네요😁😁😁 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
45,45,22:40 엄효섭 배우님도 나오셨었군요 유해진 이문식  정우 배우님만 영화보다 나온걸 알았는데 엄효섭배우님도 계셨을줄이야
46,46,네 짧지만 임팩트 있는 웃음 주시는 승무원 역으로 나오셨죠 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
47,47,20살때 대구에서 대학다니던 누나한테 놀러갔다 동성로에서 봤던영화인데 진짜 너무재밌어서 앞사람 의자 발로 한번 까서 되게 미안했었던 추억이ㅎㅎ 그기분 다시 느껴볼려고나중에 다운받아서 봤는데 50프로도 안느껴지더라구요그래서 무조건 재밌을것같은  영화는 극장에서 선감상했어요
48,48,ㅎㅎㅎ 그러셨군요 추억이 많은 영화~ 이번엔 리뷰로 어떻게 보셨는지 모르겠네요 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
49,49,영화 보는 내내 박영규 때려 죽이고 싶었다가김채연이 사람들 앞에서 죽빵 날릴때 환호성이 나왔던 영화 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
50,50,네 싸가지녀가 싸대기를 시원하게 날리죠 ㅎㅎㅎ 다만 현실적으로 면책특권이 있어 그런건지 수사 받을 것 같다는 느낌이 없어 찝찝한 아쉬움 들기죠 하죠~ 그리고 리뷰에선 편집흐름도 있어 마지막까지 고민하다 넣지 않았네요 ㅎㅎㅎ 리뷰 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
51,51,이게 벌써 20년전이네...세월 참 빠르네
52,52,네 세월이 ktx급 이상으로 참 빠르게 달려가네요🥺🥺🥺 그래도 그만큼의 소중한 추억도 쌓여가겠죠 ㅎㅎㅎ 리뷰는 추억소환하시며 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
53,53,오랫만에 봐도 재밌네요~배우들의 십여년전 모습도 새롭구요~재밌게 잘 봤습니다
54,54,재밌게 보셨다니 저도 기분이 참 좋네요😁😁😁 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
55,55,내 시간 45분을 접수 해버렸네요 ㅎㅎ 단역배우분들이 지금은 다들 유명하신분로 변했다는 것도 보는 재미를 더하네요
56,56,건달도 예비군 훈련 받으러 간다는 설정 자체가 미친 설정이지~!!헐리웃에서는 꿈도 못꿀 설정이다 ㅋㅋ
57,57,네 대한민국 군필자는 얄짤 없이 예비군 편성되고 훈련 받아아하죠 끝나면 민방위 받아야하고요 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
58,58,감방가는데 ? 국법중 군법이 가장 무섭단다 애들아 ...그냥 이법에는 돌격이면 돌격만 있는거야...죽으러 가는데 왜가니 ? 안가도 죽어 전시에는 그냥 뒷통수에 총알이 날라온다다. 그러니 돌격해서 싸우다 죽는것이 더 좋지 ㅋㅋ 군대를 알긴아니 ? 평생 감옥도 군대에는 안통한다 ...뭘로 까는줄 아니 ? 밤송이를 ㅋㅋ ?
59,59,건달도 예비군가야지 미쳤다고 안가냐
60,60,요샌 도시락 공짜로 주니까 밥 걱정은 없는데 백수일 때 아침에 저 산에 있는 예비군 훈련장 갈 때 버스도 무슨 30~40분 간격으로 다녀서 늦으면 택시타고 가야하고 끝나도 차 있는 사람들은 차타고 편하게 가는데 백수일 땐 걸어서 버스정류장까지 20분 걸어서 가던가 부대버스 타고 가야해서 조기퇴소해도 집에 오면 6시넘음 진짜 전역해도 대우 ㅈ같이 해주고 돈도 적게 주고 진짜 짜증나는 예비군훈련
61,61,그러셨군요 정말 힘드셨을 것 같고 기억에 많이 남으시겠습니다~ 최소 밦값과 차비는 지급 됐어야 되는데 참... 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
62,62,2편이 봉구가 창업해서 봉구스 밥버거 탄생시킨 스토리였군요.
63,63,ㅋㅋㅋ 봉구스 버거 ㅋㅋㅋ 센스 드립력 최고십니다👍👍👍 리뷰는 전체적으로 재밌게 보셨길 바라며 시청도 해주시고 댓글로 웃게해주시고 진심 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰🥰
64,64,저때는 안봐도 비디오라는 말이 있었는데. 지금 한국영화 진짜 발전했네요. 근데 차승원 연기는 저때나 지금이나 똑같네. 연기처럼 연기하는...
65,65,네 많이 발전한 것 같습니다 ㅎㅎㅎ 리뷰는 어떻게 재밌게 보셨는지 모르겠네요 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
66,66,김승우가 찌질하고 귀여운 연기를 예상보다 잘해서 재미있었던 영화...비디오 빌려보고 OCN에 지겹도록 해줘서 마르고 닳도록 봤던영환데 가끔 생각나던데 요즘 통~볼수없었는데 리뷰가 단비 같네요. 잘봤습니다.^^
67,67,단비 같고 재밌게 보셨다니 저도 기분이 참 좋네요😁😁😁 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
68,68,와~~진짜 잼있네요. 잘봤습니다.
69,69,재밌게 보셨다니 저도 기분이 참 좋네요😁😁😁 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
70,70,철없던 어릴때 봤을때는 찌질하다고 생각했는데ㅋㅋ내가 저나이가 되보니 저한순간 상황들이 현실이더라ㅋㅋㅋ
71,71,ㅎㅎㅎ 저런 순간에 놓일 때가 있죠 그리고 그 시기가 길어지지 않으려고 노력하고요 화이팅 있게 살아야죠 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
72,72,35:45 전무후무한 명장면
73,73,ㅋㅋㅋ 네 전무후무한 자폭 명장면이죠 실제 저럴지는 모르겠지만요 ㅋㅋㅋ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
74,74,영상길이가 긴거말고는 괜찮은 영화리뷰였습니더!
75,75,루즈한 데가 있으셨나 보네요~ 그래도 괜찮게 보셨다니 기분이 참 좋고😁😁😁 시청해주신 데 대해 찐감사드리고 싶습니다👍👍👍 그리고 새해 복 마니마니 받으시고👍👍👍 행복하셨으면 좋겠습니다🥰🥰🥰
76,76,이게 한국영화 코믹 1위라고 생각함주연 조연 할것없이 배우들이 캐릭터를 정말 잘살림
77,77,네 주조연 뿐만 아니라 많은 배우 분들이 연기 참 잘하셨고 씬스틸러셨죠😁😁😁 리뷰도 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
78,78,222 대사 한마디 뿐인 단역들까지 완벽
79,79,공감합니다
80,80,"어리버리 봉구 허봉구. 김승우님 최고의 찰떡뱨역이라고 생각되는 영화. 배우들의 라인업과 연기, 라이터 하나로 벌어지는 이야기의 설정이 정말 빛나는. 주인공 봉구의 부모님으로 출연하신 두 원로배우님 (김인문, 김지영 배우님) 께서는 지금은 모두 세상을 떠나신 고인이 되셨죠. 고인이 되신 두 원로배우님들의 명복을 빕니다."
81,81,영화찐팬이시네요 ㅎㅎㅎ 그리고 두 배우님들은 좋은 곳에서 행복하시길 저도 바라보고 싶습니다🙏🙏🙏 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
82,82, @리뷰극장  안녕하세요. 제가 영화를 너무 사랑하는 영화광입니다만 그걸 한눈에 알아보신 님의 눈썰미에 고개숙여집니다. 우선 댓글 하나 하나를 빼놓지 않고 정성스런 대댓글로 다시 인사를 주시니 감동입니다. 한분 한분의 댓글에 대한 생각을 빼놓지 않으시고 대댓글로 반응을 보이시는 게 결코 쉬운일은 아닐텐데요. 24시간중 사적인 시간으로도 바쁘시거나 조금은 귀찮을수도 있는 일이죠. 이런 영화리뷰에 대한 작은 감상평의 코멘트를 장식하는 분들에 대한 작은관심의 표현이라고 여겨집니다. 또한 구독자분들에 대한 애정과 최소한의 예의를 다하시려는 듯한 강한 인상을 받게됩니다. 결국은 처음 영상제작 하셨던 당시의 초심의 끈을 놓지 않으시고 이어가시려는 마음이 고스란히 전해져서 작은 감동입니다. 앞으로도 채널 나날이 더욱 성장하시기를 바라겠습니다. 새해 복많이 받으시고 모두가 지치고 힘든 코시국이 지속될 올한해에도 더욱 건강하시길 바라며 항상 파이팅 하십시오~!
83,83," @니차도기어  정말 따뜻하고 좋으신 분이시네요~^^ 시간 내서 이렇게 응원과 칭찬해주시는 장문의 댓글을 써주다니 정말 감동이고 가슴이 따뜻해지네요😄😄😄 정말정말 감사하고 마음 쓰시는 만큼 좋은 일만 가득하신 한해, 늘 건강하시는 한해 되시길 기원하겠습니다🥰🥰🥰"
84,84,진짜 웃기다~♡
85,85,재밌게 보신듯해 저도 기분이 참 좋네요😁😁😁 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
86,86,크 저때만의 낭만ㅠ 저런분위기 영화 참 오랜만이네요ㅋ
87,87,우아  정말  오랜만에  다시보니  역시  명작이네요
88,88,네 코믹띵작이죠~^^ 그리고 다시 재밌게 보셨다니 저도 기분이 참 좋네요😁😁😁 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
89,89,"군 입대 전, 케이블 방송으로 매일 보면서 즐거워했던 기억이 나네요ㅎㅎ (04년 군번)"
90,90,ㅎㅎㅎ 그런 추억이 있으시군요 오랜만에 리뷰로 다시 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
91,91,몇번봐도 잼있넹 ㅋ
92,92,네 참 재미진 영화죠~^^ 리뷰도 재밌게 보신듯해 기분이 참 좋네요😁😁😁 그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
93,93,저때는 왜 저런게 재미있었는지 ㅎㅎㅎ 그깟 라이터가 뭐라고라고 생각하면서도 진짜 재밌게봤었는데 지금은 그냥 그저그런 느낌이 ㅎㅎㅎ
94,94,이영화는 이문식의 찰지게하는 욕이 신의한수 ㅋㅋㅋ
95,95,네 이문식 배우님 상황들 제대로 찰지게 살리셨죠 싸가지녀와 케미도 죽였고요 특히 욕 배틀 ㅋㅋㅋ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
