,Unnamed: 0,댓글
0,0,노영희 변호사님  최진봉 교수님  펜입니다
1,1,검찰개혁 & 사법개혁! 그리고 언론개혁!반드시 이루어져야 합니다.개혁에 지치지 않아야 될거 같습니다.사법 선진국들의 예를 국민들이 공부해야 할거 같습니다.
2,2,180석이면 다 할수있는데 왜 못하죠?아니 왜 안하는거죠?지들도 사실 개혁이 아닌걸 아니깐 안하는거지
3,3,공정으로  출마했으니 후보자의  불법은  국민들이모르는척해   검찰공화국을위해서?
4,4,검찰도 전부 쓰레기는 아닐듯 그중에서도 깨끗한검사가 어느정도는
5,5,당근입니다 윤썩을 물이 튀긴 몇명이 나라를 어지럽히고 있어요
6,6,깨끗한 검사도 물들 환경이란게 무섭죠.백로야 까마귀노는곳에 가지마라 하듯이 환경이 매우 중요한데 검사들 재판시 구속율을 보면 어쩔수 없이 깨끗한 검사도 물들꺼라봐요.정말 소신있게 나아가는 깨끗한 검사가 몇명이 될지...참 암담합니다.
7,7,국민에게는   공정  가족문제는  바주기  달인
8,8,노영희 변호사님 파이팅  지식많은 노영희 거짓말 하지 안는변호사 진실만을 이야기 하는 변호사 항상 열심히 응원합니다 건강 하시고 좋은 일만 가득한 하루 되세요
9,9,최진봉교수님  노영희 변호사님  두분은  참잘말씀해 주시니까  귀에속속들어와요 응원해요
10,10,범죄가 있으면 구속수사 해야지. 이게  대한민국 검찰인가????
11,11,정치인은 개인 善보다 공동 善을 중요시 하여 언행을 조심해야 한다.
12,12,처 장모 비리그리고 윤석열본인의 권력사유화 권한남용 조직사유화  반드시 처벌하자
13,13,"무역으로 국가의 부를 이뤄 국민들의 삶을 영위하는 세상인데,멸공을 주장하는 건 국가의 부 창출을 막는 것이므로 반국가적 범죄로 다스려야 합니다.저런 인간을 지지하는 국민들 정신 차립시다. 자신들의 삶을 무너뜨리는 자들입니다."
14,14,역쉬 노변호사님 사이다발언  존경합니다 윤짱 나경원  정용진 국익 걱정됨니다
15,15,공멸  !!!  신세계로 공멸  석열 경원 재형 진태  경욱이도  신세계로 공멸로   
16,16,먹는음식으로..어거지 말장난놀이...순수한표현이라고 둘러대는 모습...헛 웃음밖에 안나와~~
17,17,뽁음멸치로 육수낸다고  거짖말도 정도것 해야지 온가족이 거짖말 대잔치
18,18,내가 볼때는 둘다 요양을 가야국민들이 편안할듯…
19,19,그 정도가 딱 국힘이에요
20,20,대선후보 정책토론 말고 일본에 대한 외교 대응 방안에 대해서따로 인터뷰만 해서 올려도 후보 선택에 도움이 될듯한데요어차피 한 사람이 토론 하기를 싫어하니까 ㅎㅎ
21,21,최진봉교수님!!영희씨!!!환상의궁합!!!팬입니다
22,22,저두요~최고죠ㅣ
23,23,윤짜장의 공정과 상식은 윤로남불의 끝판왕이다.참으로 웃기는 짬뽕이네~
24,24,열혈 더불당 스피커 두분이 출연해서 상대방 반론없이 물고 뜯고 씹는 최01의 시사본부 클라쓰♡
25,25,반론? 놀구있다
26,26,"선택은 이혼 ""고현정이 옳았다"" 일베 같은 거랑 살다 뭔 일을 당하려고 "
27,27, @맘평온  인신공격 일삼는 소위 민주시민 클라쓰
28,28, @히트  반론없이 내 말만한다 독재클라쓰
29,29,"웃긴건 그토록 애국심으로 가득찬 멸공 외치는 잉간들이윤짜장은 부동시로 군대빼고정용진은 평소 80 kg 이던 몸무게를 104 kg으로 늘려서 군대를 빼셨어요..??그래놓고는 멸공 타령....ㅋㅋㅋㅋㅋㅋㅋㅋ"
30,30,할말 하는 진정한 시대의 아이콘!! 정용진 !! 정용진!! 멸공!! 주사파out!!
31,31,뭐하러 기업하냐?때려치고 정치나 하지
32,32,"선택은 이혼 ""고현정이 옳았다"" 일베 같은 거랑 살다 뭔 일을 당하려고 "
33,33,공정과 상식이 무너지는 국힘과 서결이의 논리~국민을 x로 보는 인간들에게 무엇을 바라겠는가~
34,34,"검사나판사의범죄,그들의가족과외척들에대한수사재판은미국이나유럽연합재판에서추진하면어떨까요!!!어차피~한국에서는 어려운 일이고 지켜보는 국민들만 열받아 수명이단축되니까!!!!"
35,35,사기를쳐도 파혀치지 못하고 무협의로처리하면서  통보는 무슨통보
36,36,빨리 수사하라 구속하라 범죄자윤호보부인김건희구속하라
37,37,"국민 대다수는 코로나 때문에 나날을 치열하게 사는데,  말장난이나 하는 정치권을 보면 참 한심하다."
38,38,"신세계,이마트 제품에 중국산이 없나?중국에서 제재하면....."
39,39,줄리감오가야합니다
40,40,정진상도 제발조사 받아요이재명후보 곤란하게 만들지말아요.
41,41,그거이 아니라 윤짜장 지지율이 안떨어지고 당선 가능성 있으면 그냥 뭉개려고 했는데 아무래도 안되겠으니 일단 소환이나 해놓고 보자는거지...증거 불충분으로 무혐의 처리 하려 하겠지. 시끄럽게 떠들어대야 하는데 글씨유...
42,42,한심한 국힘 윤짜장나라가 걱정됨니다ㅠ
43,43,멸공 심각 역풍입니다
44,44,석열이가 사기죄로 기소하지 못하게 했겠지. 안봐도 뻔하지 않나?
45,45,부정입학의 대명사  나경원.저것이 또나와 설쳐대는 꼬라지. 같찮습니다.
46,46,이번선거는 술군과일군에대결입니다 윤석열은동네반장감도 못되요 우리국민들 정신차립시다 ᆢ
47,47,가방을 날치기 했는데빈 가방이었다?
48,48,속이 시원하다.
49,49,최진봉  최영일 노연희 좋아요 응원합니다 지지합니다 화이팅
50,50,장모는 사기혐의는 빠졌던데 과연 부인은 어찌 되려나검찰 해체하거나 검찰과 같이 기소 공소권 가진 단체가 필요한듯공수처 말고
51,51,※ (축하) (축하)경 축 (축하) (축하)※제  20  대  대한민국 대통령이재   명
52,52,정말공감합니다 하이팅 ᆢ
53,53,"아니 우리 반도체며 요소며….관광이며 뭐며….죄다 중국 원료 갖다 산업이 돌아가는데 중국을 왜 자꾸 까댑니까??? 어리석은 짓 하지맙시다 , 좀…!!!"
54,54,지들하곤 상관없다 생각하나부죠
55,55,노영희님 마스크쓰시니 2030같아요^^똑부러진 의견 감사합니다
56,56,이재명 으로 가즈아못다한 검찰개혁이재명은 합니다
57,57,"조림용 멸치로 육수를 내고, 약콩으로 콩국을 만드는 신박함?? ㅎㅎ 국민이 갖잖으니,,"
58,58,멸콩~ 준서기작품인듯~ 아~~~~ 질떨어져~
59,59,☆ 여당 야당 좌파 우파 국민이 행복합니까☆ 좋은세상 으로 만들어주실분 허경영 대통령 ☆ 난세의 영웅 준비된 20대통령 허경영 ☆ 18세이상 1억  + 매월배당금150만원☆ 나와 후손들을 위해 20대 대통령은 허경영
60,60,노변호사님~~~파이팅^^
61,61,정진상님은불참해야합니다죄없는두분을하늘로떠나게하고또정치적으로정진상님이용하려하는것국민들도알고있고요거니나소환조사다했으면합니다정진상님검찰한테먹이감되지마시길꼭부탁합니다
62,62,"윤석열이가 품격있게 선거운동했더라면 오늘날 이렇게 폭락이라는 사태를 맞이하지는 않았을 것이다. 참으로 품격이 없는 사람이다. 품격없는 걸 ""같잖다""고 하는데 오히려 적반하장으로, 존중해야할 경쟁상대에 대해 ""같잖다""는 막말을 쏟아내는 사람이다. 그렇게 품격없이 전방주변 술집작부와 놀다가 한번 건드린게 ""나 임신했어요""라는 말에 속아 어쩔 수 없이 결혼하게된 어느 전방장교 꼴이다. 애기보살 같은 이준석 파일하나 쥐고서 약점삼아 거미 똥구멍에서 거미줄 빼먹듯 뽑아내는 짓이 바로 멸콩 장보기 같은 유치한 행각이다."
63,63,이렇게 말하는 사람들 군대나제대로 갔다 왔을까요군대도 안간사람들이 입으로만 멸공외치는데 멸공이 된가요
64,64,줄리감오가야합니다
65,65,더민이 공정과 공평을 위한 개혁을 한다고 촛불시민 팔았으면 개혁을 해야죠. / 이후보가 승리하겠지만 박스권 탈출이 안돼는 이유가 더민을 믿을 수 없기 때문이라 생각... 개혁하세요..공정과 공평
66,66,윤십원 법꾸라지 검새는 중범죄자 다! ! 선택적 수사 선택적 기소 법 왜곡 죄 신설하고 공소시효 없애고 규제받지않는 권력검판사의 확실한 규제책을 마련해야 한다! 거대민주당 수박들은 법꾸라지 판검새는 변호사 개업 못하는 법 통과 시켜라?
67,67,주간이슈 너무 잘하십니다.^^
68,68,여가부폐지 대찬성!!
69,69,소환하면 뭐하겠노. 어짜피 면죄부 주려고 부른거. 장모 봐여. 그런 사기를 치고도 사기죄는 빼고 기소하는 꼬라지.
70,70,군대도 안 갔다온 놈들이   입으로만   애국심  하늘을  찌른다.   역겹다.
71,71,김경희 꼭 구속해야됩니다
72,72,영부인폐지 제2부속실폐지여가부폐지다음엔 국짐당폐지하겠네
73,73,"달파명공... 릴레이... 너무나 뻔한 짓거리 해 놓고, 너무나 성의 없는 말장난으로 아니라고 하는게 너무 짜증남. 대중을 놀리는 거잖아. 대통령 선거를 앞두고 대권 후보가 저러는게 완전 비상식"
74,74,노영희 변호사님  최진봉교수님 화이팅입니다
75,75,석열건희가요양이필요하다고하는데석열아건희가왜요양이필요한지기자회견좀해서국민에게발켜라정말개같은세상이네석열이러고도공정과상식이나니가검찰총장출신인데나는농업에종사하는사람인데일데일로토론좀하자
76,76,진짜 대통후보란자가 부끄럽다.수준이하다.달파멸콩..ㅎㅎ또 어떤 도사의 작품인가?
77,77,이마트 신세계 스벅은 오늘부터 아웃!!!
78,78,나경원 목소리만들어두 소름
79,79,여자 대통령까지 나온나라에 뭔 중앙부처 장관급 여성부가필요하냐 ? 특정성별이 들어가는것도 웃기고 선진국처럼 성평등 위원회로 해야지
80,80,이준석들어가도소용없네정용진아 대주주가 까불면 주식떨어진다 짜증나니까나대지말고  가만있어라
81,81,"사기, 조작, 공작 에는  국내에서는 윤석열 가족을 못 당 합니다."
82,82,그대의부  그대  혼자서  만들었다고  생각  하는가.?
83,83,과거를 바꿀순 없다 지금 이재명을 잡아 족친들 국민의힘의 잘못된 일이 이재명이 한일로 버뀌지는 않는다
84,84,면죄부를 줄려고 소환통보한거야??!!
85,85,사이다 노변호사님ㅋㅋ
86,86,"뜯어먹을돈 잔뜩쌓여있는 복마전.여성가족부의 수십조 예산나눠먹기는,당연히 폐지가 정당하고,결혼부 시급합니다.허경영후보님이 맞습니다."
87,87,사법적인 판단은 판사가 하는 것이야.
88,88,검새나 판새나
89,89,수백억 잔고통장 조작하고 요양급여22억 탈취하고주가조작.경력조작에 숱한 사건 비리들이 드러나도 범죄를 지은범죄자 인데도 수사도 구속도안하냐.이게 공정이냐.
90,90,전과4번 소년공 아드님을 공격하는 겁니까?자중하세요.
91,91," @okidoki  정의로운 일을 한 것과.고발사주 의혹.주가조작.의혹.수십건의 경력조작과.통장잔고 수백억 위조로 여러사람들 피해입힌 범죄와 요양급여 22억 해먹은 사기꾼 전과자와 같냐.정신차려 이재명 후보만큼 서민위한 사람없다.천벌 곧 받을것이여.곧.성남의료원 설립추진 하다가 업무방해로 기소되어 정의롭게 얻은 전과1.(결국 끝내13년후 이재명 후보가 성남 의료원 설립함)pb수첩 기자가 직접 검사사칭 한것을 이재명 후보가 아는 검사이름 말한건게 전부지만 기자가 거짓자백으로 이재명후보가 직접 검사사칭 했다고 진술해서 전과2, 선거명함 지하철 역사에서 뿌려서 벌금50만원. 전과3.당시 (국적당 후보두명도 같이 역사내서 명함 돌렸지만 이재명후보만 기소됐다.) 인권변호사때 억울한 피해자가 급한 사건에 도움요청해서 도와주러 가서 음주측정에 벌금 한게 전과4. 이것이 중범죄더냐.윤썩렬에 비하면 대통령깜 충분하지.사기꾼 범죄자를 청와대 주인으로 만들것이냐.썩을것아.세상 누구도 자식농사 쉽지않다.너역시도 그러니.세상이 아무리 개떡같아도 아닌건 아닌거지.나라주인은 국민이다 국민답게 주인의식 가지고 똑바로 보고 듣고 판단해야지.다 나쁘지만 더 나쁜놈은 안된다는 것이여.반백년 넘게 살아왔지만 이런경우는 아니다. 걸레는 삶아도 걸레고 행주가 될수없다.보수적인 우리 조상님들이 더 분노할것이다.쥴리에.이혼녀.상간녀.김범수도 남편이라고 건희가 직접 말한 사실까지 더한다면 입에 올리기 조차도 내입이 더럽혀진다.이게 대통령 아내로 자격되냐.요즘 젊은이들 초등생도 인터넷 게임도박 한다고 하는데.그게 대선후보 자격없는거냐.무릎위 자식이지.성인이 된 자식을 부모가 왜간섭하냐.며느리도 사위도 요샌 부모라고 개입도 간섭도 했선 안되는 세상인데.나쁜 네거티브는 나라를 망치게 하는데 동조하는거와 같은것이다.차라리 유승민.홍준표가 후보면 모르지만.ㅉㅉㅉ"
92,92," @가.가짜뉴스 엄중처벌.  글을 수정하셨네요...?걸레는 삶아도 걸레고 행주가 될수없다고 하셨는데, 설마 전과4범은 영원히 전과자일 뿐이라고 낙인찍는 것인가요?부디 자중하세요."
93,93,문재인 정부안에 여성가족부 일은 뭡니까~지금 껏 문재인 정부와 여당 편에서 여성들 인권만 상처를 주고 있지 않나요~그럼 여성가족부가 있어 대한민국 여상분들 인권이 좋아졌는지 묻고 싶네요~
94,94,지친다 윤바보 공정 과 상식
95,95,노영희  변호사님  예쁘 시고 잘하시고 있어요  감사 합니다
96,96,노영희변호사님 예리하게 보셨네요~윤석열은 넘 돈이 많아서 잔멸치로 육수를 내나봐요 ㅋ답변도 제대로 못하면서 왜 저런 짓거리를 하는지 한심합니다
97,97,저급한겁다….에휴…..국개의원이라는 거가 됩니다
98,98,아무리 뻔뻔한자라해도 이 부부는  상식밖에서 살아온 비정상적인 가족같은데 방송언론이  간단한 이  사실하나 걸러내지못한다면  이게 나라가맞습니까 무엇이 공정이었나요? 무엇이 상식이나  갖춰있던가요?
99,99,노변호사님~완죤 쪼아욤~^^
100,100,모지리들처럼 보일뿐 ... 참 한심합니다. 저런 사람들이 정치를 쯧쯧...
101,101,윤석열가족을특검하면안돼요
102,102,滅윤 석열 🇯🇵 김건희 黒服  엘리자베스 홈스黒服🇺🇸
103,103,정교수만큼만 탈탈떨어라~
104,104,피오나 공주님~ 사랑해여~~~
105,105,소환 해봐야  무죄라면 왜  하는거야? 국민을  우습게 보는거지  정경심  교수는  4년  때리고  ? 이것이  공정과  상식  이구나  ~~~
106,106,"이마트 신세계 물건 중 70프로는 중국산,,직원이나 사찰하는 넘이"
107,107,정치놀음 하지말어이번에 백신패스 못막으면 골로간다.
108,108,달은왜 들어갔니  거짓해명하려고  하느냐   두인간 다를바없다
109,109,참십게말하네요아내는형사처벌대상아니고이재명은학정적중범죄자다무죄치지윈칙인대본인이판결을자지우지하네대통령대면검찰식통치
110,110,국민을 우습게 아는거지요바보로 보든가
111,111,윤십원 감옥 가기 전에 많이 웃어둬라
112,112,"아무리 그래도 대한민국을 돌대가리에다, 알콜중독 주정뱅이에게 맡길수는없다. 본인 말대로 말귀도 잘 못알아들어~ 즉흥연설이되나 토론이되나 간담회가되나 기자질의응답이되나 외신기자회견이 스스로되나~~~이건 동네 반장을 뽑는게 아니고 국가대표를 뽑는것이기에 국제적 수치다."
