,Unnamed: 0,댓글
0,0,다들 여행가서 신난게 느껴져서 좋은 특집
1,1, @15디코녀  ㅈ까세여~
2,2,ㄹㅇㅋㅋㅋㅋ 난 무도 여행가는 편들이 제일 좋아
3,3,다들 얼굴에 신남이 적혀있음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄱㅇㅇ
4,4,하와이 알래스카 오호츠크 레전드 이제 멤버 나이들어 힘든 프로젝트 부담되면 여행가서 노는 소소한 거도 좋으니 다시 했으면... 오호츠크 멤버로 딱
5,5,무도 진짜너무그립다 내청춘..
6,6,ㅍㅍㅍ홀서ㅓ소
7,7,이런 댓글이 괜찮다 자연스럽고유투브댓글들보면 마치 평가받기위해서  눈치보듯 시간찝으며 쓰는게 다반산데자존감없어보인다추천에 목말라있어서 댓글도 타인위주로 쓴다이렇게 그냥 내감정만 자연스럽고 단백하게 써도 충분히 추천많이받는구만
8,8,무도 애들 나와서 그냥 1박2일 칸셉으로 여행만 다녀도 꿀잼일듯 ㅜㅜ 그립넹
9,9, @영호이  사람들 그냥 보다 웃겨서 그구간 같이웃자고 찝는거임... 평가받으려고 쓰시는게 아니라
10,10,저때 명수형이 진짜 힘들어했을때라 힐링느낌으로 갔을거에요
11,11,준하형 초밥 걸린거 언제 봐도 레전드 ㅋㅋㅋㅋㅋㅋㅋㅋ
12,12,ㄹㅇ ㅋㅋ
13,13,하하: 또 엄마 생각나? 이거진짜 개웃기네ㅋㅋㄱㅋ
14,14, @던킨도너츠무료커피  달인 : 우리 어머니 생각이 나서 그렇습니다 😭😭😭😭
15,15,3연벙 시발 ㅋㅋㅋㅋㅋㅋㅋ아 진짜 봐도봐고 배째짐
16,16,이때 솔직히 정준하가 와사비 초밥 걸릴때가 개웃겼지 ㅋㅋㅋㅋㅋㅋ 신기하게 찾아내는 것도 재주가 좋은데 ㅋㅋㅋㅋ 먹고 잠시 엄마 생각 났다고 드립치는것도 ㅋㅋㅋㅋㅋㅋ 저 드립 많이 쳤었는데 ㅋㅋㅋㅋㅋㅋ 오호츠크해 특집도 진짜 거를타선이 없음 ㅋㅋㅋ
17,17,왜 나만 이런걸 먹어야 되는거냐?
18,18,이번엔 할머니 생각나 ?
19,19,엄마 생각받고 노홍철의 탐지견드립ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,20,저정도면 짠거라고 느낄듯 ㅋㅋㅋㅋㅋㅋ
21,21,???: 탐지견이세요 탐지견?
22,22,주작이지 뭔 ㅋㅋㅋ 이런거 믿는 순진한 놈들도 있구나.. 대단하네
23,23,4:47 저 표정도 찐이지만 진짜사나이에서 띵수옹이 예스아이캔 외칠때 하하 웃음참는 표정이 진짜 레전드임ㅋㅋㅋㅋㅋㅋ 다른멤버들도 다 웃음참기챌린지였지만 혼자서만 거의 죽을려하는표정ㅋㅋㅋㅋㅋㅋㅋ
24,24,근데 지금 웃참이 유행하는데 무도는 이때부터 웃참을했네 ㅋㅋㅋ 진짜 시대 앞서나가는 레전드 프로그램
25,25,박띵수ㅋㅋㅋㅋㅋ
26,26, @임기열  ㅋㅋㅋ저렇게 웃음 참는 건 여러 프로그램에서 나왔지 이것까지 무도 신격화하네 이정도면 병이다;;
27,27,아 이표정 어떤편인지 한참 찾았는데 여기였구나 ㅋㅋㅋ
28,28,띵수옹ㅋㅋㅋㅋ뭔가했네 개웃기네
29,29, @대구 도씨 34대손  또
30,30,거긴 양세형 빵터지는게 찐인데 ㅋㅋㅋㅋ
31,31, @리사마리 심슨  유재석이 길 머리 쿡쿡 찌르는것도 쓰다듬는거로 보는 분들인데 뭐
32,32,12:45 정준하 아뇨? 다시 갈까요?할 때 표정이 레전드 이것 때매 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
33,33,고개 꺾는게 킬포ㅋㅋ
34,34,새침ㅋㅋㅋㅋㅋㅋㅋ
35,35,왤케 인직이 같냐 ㅋㅋㅋㅋ
36,36,귀여워 ㅋㅋㅋㅋㅋㅋㅋㅋ
